Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,Area,Weight,is_pareto
krnl_KALMAN_1730.cpp,xczu7ev-ffvc1156-2-e,5.0,4.423715,230,92,7,7,20,block_4_1,block_8_1,cyclic_4_1,complete_1,block_8_1,complete_1,pipeline,unroll,pipeline_1,unroll_2,unroll_2,unroll_2,pipeline,31.5,0.8597488333265311,False
krnl_KALMAN_1731.cpp,xczu7ev-ffvc1156-2-e,5.0,4.50593,429,92,7,8,27,block_4_1,block_8_1,cyclic_2_1,complete_1,block_8_1,complete_1,pipeline,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_2,pipeline,33.5,0.7902073035183832,False
krnl_KALMAN_1732.cpp,xczu7ev-ffvc1156-2-e,5.0,52.05033,67,92,1,2,11,block_4_1,block_8_1,block_2_1,block_32_1,block_8_1,cyclic_2_1,pipeline,pipeline_1,unroll_2,unroll_2,unroll_2,unroll_2,pipeline,26.5,0.2314023677666085,False
krnl_KALMAN_1733.cpp,xczu7ev-ffvc1156-2-e,5.0,1.86377,185,92,7,25,58,cyclic_4_1,block_8_1,block_32_1,block_32_1,cyclic_32_1,complete_1,pipeline,unroll,pipeline,unroll_4,unroll,unroll_4,unroll,45.5,0.4052522051934345,False
krnl_KALMAN_1734.cpp,xczu7ev-ffvc1156-2-e,5.0,50.98026,117,92,3,5,19,cyclic_8_1,block_8_1,block_2_1,block_8_1,cyclic_8_1,cyclic_2_1,pipeline,pipeline_1,unroll_4,unroll_2,pipeline_1,unroll_8,pipeline,29.75,0.23704407220429308,False
krnl_KALMAN_1735.cpp,xczu7ev-ffvc1156-2-e,5.0,38.49229,172,92,1,3,21,block_4_1,block_16_1,cyclic_4_1,complete_1,block_8_1,complete_1,pipeline,unroll,unroll_2,unroll_4,unroll_2,pipeline_1,unroll,29.25,0.37990755935245524,False
krnl_KALMAN_1736.cpp,xczu7ev-ffvc1156-2-e,5.0,2.62176,251,92,7,7,29,block_4_1,block_8_1,cyclic_4_1,complete_1,cyclic_8_1,complete_1,pipeline,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_8,unroll,33.75,0.7866986090746708,False
krnl_KALMAN_1737.cpp,xczu7ev-ffvc1156-2-e,5.0,7.158005,64,92,1,2,10,block_4_1,cyclic_4_1,block_2_1,block_4_1,block_8_1,cyclic_2_1,pipeline,unroll,unroll_2,unroll_2,unroll,pipeline_1,pipeline,26.25,0.9668569809385341,False
krnl_KALMAN_1738.cpp,xczu7ev-ffvc1156-2-e,5.0,4.4854,529,92,7,25,64,cyclic_8_1,cyclic_8_1,block_2_1,block_4_1,cyclic_8_1,cyclic_4_1,pipeline,pipeline_1,pipeline,unroll_8,unroll_2,unroll_8,pipeline,47.0,0.3672261020352373,False
krnl_KALMAN_1739.cpp,xczu7ev-ffvc1156-2-e,5.0,2.682895,333,92,7,7,22,block_4_1,block_8_1,cyclic_4_1,block_16_1,block_8_1,cyclic_2_1,pipeline_1,unroll,pipeline_1,unroll_2,unroll_2,unroll_2,unroll,32.0,0.8538054461850696,False
krnl_KALMAN_1740.cpp,xczu7ev-ffvc1156-2-e,5.0,2.68318,329,92,7,7,21,block_4_1,block_8_1,cyclic_4_1,block_16_1,block_8_1,complete_1,pipeline,pipeline_1,pipeline_1,unroll_2,unroll_2,pipeline,unroll,31.75,0.8629357387083133,False
