Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,InnerLoop_1_2,Area,Weight,is_pareto
workload_2051.cpp,xczu7ev-ffvc1156-2-e,3.33,3.5395236,525,1,1,18,71,cyclic_4_1,block_256_1,unroll_2,pipeline,unroll_16,unroll_64,22.75,0.36489449837958265,False
workload_2052.cpp,xczu7ev-ffvc1156-2-e,3.33,36.2586051,73,3,1,1,4,cyclic_16_1,cyclic_2_1,unroll_64,unroll_4,unroll_16,unroll_2,2.25,0.4333618732236798,False
workload_2053.cpp,xczu7ev-ffvc1156-2-e,3.33,4.0062231,119,1,1,3,10,cyclic_4_1,cyclic_256_1,pipeline_1,pipeline,unroll_32,pipeline_1,3.75,0.9343954682985739,False
workload_2054.cpp,xczu7ev-ffvc1156-2-e,3.33,3.54293352,545,1,1,13,83,block_256_1,block_64_1,pipeline_1,pipeline,unroll_4,unroll_64,24.5,0.2949243219943498,False
workload_2055.cpp,xczu7ev-ffvc1156-2-e,3.33,3.5497467,560,2,1,13,81,cyclic_256_1,block_8_1,unroll_16,pipeline,unroll_16,unroll_64,24.25,0.304265844135753,False
workload_2056.cpp,xczu7ev-ffvc1156-2-e,3.33,3.54293352,570,1,1,18,77,block_64_1,cyclic_256_1,unroll_64,pipeline_1,unroll_8,unroll_64,24.25,0.30426455241104644,False
workload_2057.cpp,xczu7ev-ffvc1156-2-e,3.33,3.5395236,584,1,1,19,75,cyclic_2_1,cyclic_256_1,pipeline_1,pipeline,unroll_16,unroll_16,24.0,0.3138226064703561,False
workload_2058.cpp,xczu7ev-ffvc1156-2-e,3.33,3.54293352,585,1,1,18,75,cyclic_128_1,block_512_1,unroll_32,pipeline_1,unroll_16,unroll_64,23.75,0.32360065126600845,False
workload_2059.cpp,xczu7ev-ffvc1156-2-e,3.33,21.41947242,64,4,1,1,2,block_8_1,cyclic_8_1,unroll_64,unroll_2,unroll_8,unroll_8,2.0,0.6576534969910046,False
workload_2060.cpp,xczu7ev-ffvc1156-2-e,3.33,3.55315329,593,4,1,15,74,cyclic_8_1,cyclic_8_1,pipeline,pipeline_1,unroll_32,unroll_64,23.5,0.33359840209516284,False
workload_2061.cpp,xczu7ev-ffvc1156-2-e,3.33,3.5497433700000003,597,4,1,15,73,cyclic_4_1,cyclic_8_1,unroll_4,pipeline_1,unroll_64,unroll_64,23.25,0.3438121963507101,False
workload_2062.cpp,xczu7ev-ffvc1156-2-e,3.33,3.54293352,477,1,1,18,75,cyclic_128_1,cyclic_256_1,unroll_64,pipeline,unroll_2,unroll_64,23.75,0.32360065126600845,False
workload_2063.cpp,xczu7ev-ffvc1156-2-e,3.33,3.5497433700000003,641,2,1,15,74,cyclic_2_1,cyclic_8_1,unroll_16,pipeline_1,unroll_8,unroll_64,23.0,0.35424498859673315,False
workload_2064.cpp,xczu7ev-ffvc1156-2-e,3.33,3.70644651,97,5,1,1,9,cyclic_16_1,block_64_1,unroll_4,pipeline_1,unroll_4,pipeline,4.0,0.9287022631308327,False
workload_2065.cpp,xczu7ev-ffvc1156-2-e,3.33,3.59062245,149,1,1,5,18,cyclic_128_1,block_256_1,unroll_4,pipeline,unroll_64,pipeline,6.25,0.847313481512467,False
workload_2066.cpp,xczu7ev-ffvc1156-2-e,3.33,3.5497433700000003,575,1,1,15,76,cyclic_2_1,block_2_1,unroll_64,pipeline,unroll_64,unroll_64,23.25,0.3438121963507101,False
workload_2067.cpp,xczu7ev-ffvc1156-2-e,3.33,3.5497467,528,2,1,11,74,cyclic_64_1,block_8_1,pipeline,pipeline_1,unroll_16,unroll_64,22.0,1.0,True
workload_2069.cpp,xczu7ev-ffvc1156-2-e,3.33,3.54293352,471,1,1,18,75,cyclic_128_1,cyclic_256_1,pipeline_1,pipeline,unroll_64,unroll_64,23.75,0.32360065126600845,False
workload_2071.cpp,xczu7ev-ffvc1156-2-e,3.33,3.5497433700000003,511,3,1,12,75,block_4_1,block_4_1,unroll_8,pipeline,unroll_16,unroll_64,22.75,0.36489590103102554,False
workload_2072.cpp,xczu7ev-ffvc1156-2-e,3.33,3.5497433700000003,549,1,1,14,79,block_2_1,block_2_1,unroll_4,pipeline,unroll_32,unroll_32,23.75,0.32360197992408823,False
workload_2073.cpp,xczu7ev-ffvc1156-2-e,3.33,3.54293352,448,1,1,18,75,cyclic_128_1,cyclic_256_1,unroll_64,pipeline,unroll_8,unroll_64,23.75,0.32360065126600845,False
workload_2074.cpp,xczu7ev-ffvc1156-2-e,3.33,3.55315662,557,1,1,22,93,block_512_1,block_2_1,pipeline,pipeline,unroll_16,unroll_64,29.25,0.15898765279851657,False
workload_2075.cpp,xczu7ev-ffvc1156-2-e,3.33,3.58721919,1469,1,1,21,30,cyclic_512_1,cyclic_256_1,unroll_64,pipeline,unroll_16,pipeline,13.25,0.6159309943886195,False
workload_2076.cpp,xczu7ev-ffvc1156-2-e,3.33,30.58192746,60,4,1,1,1,cyclic_4_1,cyclic_16_1,unroll_16,unroll_2,unroll_2,unroll_2,1.75,0.5231037135020893,False
workload_2077.cpp,xczu7ev-ffvc1156-2-e,3.33,4.00962969,105,4,1,1,5,cyclic_4_1,cyclic_16_1,unroll_16,pipeline_1,unroll_8,pipeline_1,2.75,0.9761719145139224,False
workload_2078.cpp,xczu7ev-ffvc1156-2-e,3.33,3.80183103,110,3,1,1,10,cyclic_64_1,block_8_1,pipeline,pipeline,unroll_32,pipeline,3.75,0.937688315947078,False
workload_2079.cpp,xczu7ev-ffvc1156-2-e,3.33,4.44226662,131,1,1,4,9,cyclic_2_1,block_64_1,pipeline,pipeline,unroll_32,pipeline_1,3.75,0.9264570211399207,False
workload_2080.cpp,xczu7ev-ffvc1156-2-e,3.33,4.44226662,138,1,1,5,10,cyclic_2_1,block_128_1,unroll_32,pipeline,unroll_4,pipeline_1,4.25,0.9058825808858416,False
workload_2081.cpp,xczu7ev-ffvc1156-2-e,3.33,3.60084222,152,1,1,4,13,cyclic_64_1,cyclic_256_1,unroll_16,pipeline,unroll_32,pipeline_1,4.75,0.9020174146643829,False
workload_2082.cpp,xczu7ev-ffvc1156-2-e,3.33,4.44567654,161,1,1,2,13,cyclic_128_1,block_2_1,unroll_64,pipeline,unroll_64,pipeline_1,4.25,0.905816015232356,False
workload_2083.cpp,xczu7ev-ffvc1156-2-e,3.33,30.58192746,58,3,1,1,1,cyclic_2_1,block_8_1,unroll_16,unroll_2,unroll_64,unroll_2,1.5,0.5296165347540072,False
workload_2085.cpp,xczu7ev-ffvc1156-2-e,3.33,4.013036280000001,107,3,1,1,6,cyclic_4_1,block_4_1,unroll_16,pipeline,unroll_64,pipeline_1,2.75,0.9761327116222185,False
workload_2086.cpp,xczu7ev-ffvc1156-2-e,3.33,4.0062231,117,1,1,3,10,cyclic_4_1,cyclic_256_1,unroll_32,pipeline,unroll_32,pipeline_1,3.75,0.9343954682985739,False
workload_2087.cpp,xczu7ev-ffvc1156-2-e,3.33,14.0438421,63,3,1,1,1,cyclic_2_1,cyclic_8_1,unroll_32,unroll_2,unroll_32,pipeline_1,1.5,0.8019951108022704,False
