Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,OuterLoop_1,InnerLoop_1_1,Area,Weight,is_pareto
workload_49.cpp,xczu7ev-ffvc1156-2-e,5.0,1.55265,532,5,4,12,17,complete_1,unroll_8,unroll_2,9.5,0.4426105408685117,False
workload_50.cpp,xczu7ev-ffvc1156-2-e,5.0,1.64673,1127,5,5,21,27,complete_1,unroll_16,unroll_2,14.5,0.3339867132059211,False
workload_52.cpp,xczu7ev-ffvc1156-2-e,5.0,1.65553,1148,5,3,55,74,complete_1,unroll_32,pipeline_1,34.25,0.106103853943566,False
workload_54.cpp,xczu7ev-ffvc1156-2-e,5.0,0.129425,139,5,3,9,12,complete_1,pipeline,pipeline,7.25,0.99999123156793,False
workload_55.cpp,xczu7ev-ffvc1156-2-e,5.0,0.129425,145,5,3,9,12,complete_1,pipeline_1,pipeline_1,7.25,0.99999123156793,False
workload_56.cpp,xczu7ev-ffvc1156-2-e,5.0,0.129405,147,5,3,9,12,complete_1,pipeline_1,unroll,7.25,1.0,True
workload_57.cpp,xczu7ev-ffvc1156-2-e,5.0,1.53473,171,5,2,8,15,complete_1,unroll_4,pipeline_1,7.5,0.4813157554010985,False
workload_58.cpp,xczu7ev-ffvc1156-2-e,5.0,1.63681,510,5,3,28,40,complete_1,unroll_16,pipeline_1,19.0,0.26447465349719523,False
workload_59.cpp,xczu7ev-ffvc1156-2-e,5.0,1.93889,516,5,3,30,41,complete_1,unroll_16,pipeline,19.75,0.19850947702777955,False
workload_60.cpp,xczu7ev-ffvc1156-2-e,5.0,1.29025,560,5,4,10,15,complete_1,unroll_4,unroll,8.5,0.5399938802139346,False
workload_61.cpp,xczu7ev-ffvc1156-2-e,5.0,1.52769,280,5,2,15,23,complete_1,unroll_8,pipeline_1,11.25,0.4194454020196331,False
workload_62.cpp,xczu7ev-ffvc1156-2-e,5.0,1.46177,1276,5,5,18,24,complete_1,unroll_8,unroll,13.0,0.40576530954001955,False
workload_64.cpp,xczu7ev-ffvc1156-2-e,3.33,0.08656668,154,5,3,10,12,complete_1,pipeline_1,pipeline_1,7.5,1.0,True
workload_65.cpp,xczu7ev-ffvc1156-2-e,3.33,0.08655669,154,5,3,11,12,complete_1,pipeline,unroll,7.75,1.0,True
workload_66.cpp,xczu7ev-ffvc1156-2-e,3.33,0.08656668,154,5,3,10,12,complete_1,pipeline_1,pipeline,7.5,1.0,True
workload_67.cpp,xczu7ev-ffvc1156-2-e,3.33,0.08655669,154,5,3,11,12,complete_1,pipeline_1,unroll_2,7.75,1.0,True
workload_68.cpp,xczu7ev-ffvc1156-2-e,3.33,1.83028122,154,5,2,9,15,complete_1,unroll_4,pipeline,7.75,0.3374097622822072,False
workload_69.cpp,xczu7ev-ffvc1156-2-e,3.33,1.59073434,155,5,2,6,10,complete_1,unroll_2,pipeline_1,5.75,0.45628419662876485,False
workload_70.cpp,xczu7ev-ffvc1156-2-e,3.33,1.27872666,183,5,3,7,10,complete_1,unroll_2,unroll,6.25,1.0,True
workload_71.cpp,xczu7ev-ffvc1156-2-e,3.33,1.51230618,197,5,3,8,11,complete_1,unroll_4,unroll_2,6.75,0.4834588455781963,False
workload_72.cpp,xczu7ev-ffvc1156-2-e,3.33,0.08655669,87,5,3,11,12,complete_1,pipeline,unroll_2,7.75,1.0,True
workload_73.cpp,xczu7ev-ffvc1156-2-e,3.33,1.49355162,106,5,3,5,9,complete_1,unroll_2,unroll_2,5.5,1.0,True
workload_74.cpp,xczu7ev-ffvc1156-2-e,3.33,1.8290025,174,5,2,16,23,complete_1,unroll_8,pipeline,11.5,0.30730551666879286,False
workload_75.cpp,xczu7ev-ffvc1156-2-e,3.33,1.89144666,294,5,3,31,41,complete_1,unroll_16,pipeline,20.0,0.1959161511193544,False
workload_76.cpp,xczu7ev-ffvc1156-2-e,3.33,1.6595721,330,5,3,29,40,complete_1,unroll_16,pipeline_1,19.25,0.24856524273383981,False
workload_77.cpp,xczu7ev-ffvc1156-2-e,3.33,1.51827354,364,5,4,13,17,complete_1,unroll_8,unroll_2,9.75,0.43364891172497233,False
workload_78.cpp,xczu7ev-ffvc1156-2-e,3.33,1.2684969,388,5,4,11,15,complete_1,unroll_4,unroll,8.75,0.5309361937633155,False
workload_79.cpp,xczu7ev-ffvc1156-2-e,3.33,1.6286697,715,5,5,22,27,complete_1,unroll_16,unroll_2,14.75,0.32260441425650455,False
workload_80.cpp,xczu7ev-ffvc1156-2-e,3.33,1.6686297,749,5,3,56,73,complete_1,unroll_32,pipeline_1,34.25,0.10545722347487183,False
