Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,Area,Weight,is_pareto
workload_3956.cpp,xcu200-fsgd2104-2-e,3.33,10.89131778,656,1,13,9,11,block_64_1,block_64_1,complete_1,unroll_16,unroll_8,unroll_16,pipeline_1,pipeline,8.5,0.10000000000000003,False
workload_3957.cpp,xcu200-fsgd2104-2-e,3.33,11.23316226,65,1,1,1,1,cyclic_8_1,block_8_1,complete_1,pipeline,pipeline,unroll_32,unroll_8,pipeline_1,1.0,0.954407638258644,False
workload_3958.cpp,xcu200-fsgd2104-2-e,3.33,26.48489193,99,1,1,1,1,block_128_1,block_2_1,complete_1,unroll_2,pipeline,unroll_4,unroll_2,unroll,1.0,0.7894698170013241,False
workload_3959.cpp,xcu200-fsgd2104-2-e,3.33,17.807594580000004,76,1,1,1,1,block_8_1,block_2_1,complete_1,unroll_2,pipeline,unroll_8,unroll_64,unroll,1.0,0.8811423666884843,False
workload_3960.cpp,xcu200-fsgd2104-2-e,3.33,77.41310274,73,1,1,1,1,cyclic_2_1,cyclic_4_1,complete_1,pipeline_1,unroll_8,pipeline_1,unroll_64,pipeline,1.0,0.3667366293768658,False
workload_3961.cpp,xcu200-fsgd2104-2-e,3.33,8.756707859999999,650,1,1,1,2,cyclic_128_1,cyclic_128_1,complete_1,unroll_4,unroll_2,pipeline_1,pipeline_1,pipeline_1,1.25,0.9386739190570788,False
workload_3962.cpp,xcu200-fsgd2104-2-e,3.33,17.795669850000003,221,1,1,1,1,cyclic_128_1,cyclic_32_1,complete_1,unroll_2,pipeline,unroll_64,unroll_64,unroll,1.0,0.8812722830092246,False
workload_3963.cpp,xcu200-fsgd2104-2-e,3.33,21.27794409,78,1,1,1,1,cyclic_32_1,cyclic_32_1,complete_1,unroll_2,pipeline,pipeline,unroll_8,unroll,1.0,0.8437929892095548,False
workload_3964.cpp,xcu200-fsgd2104-2-e,3.33,10.77539049,590,1,1,1,3,block_4_1,block_128_1,complete_1,unroll_4,unroll_2,unroll_32,pipeline_1,unroll,1.5,0.8777355257784505,False
workload_3965.cpp,xcu200-fsgd2104-2-e,3.33,17.79565986,254,1,1,1,1,block_32_1,cyclic_128_1,complete_1,unroll_2,pipeline,unroll_64,unroll_64,unroll,1.0,0.8812723918517771,False
workload_3966.cpp,xcu200-fsgd2104-2-e,3.33,7.283622419999999,581,1,1,1,2,cyclic_128_1,cyclic_32_1,complete_1,unroll_2,pipeline,unroll_4,pipeline,unroll,1.25,0.9410159326801807,False
workload_3967.cpp,xcu200-fsgd2104-2-e,3.33,8.75671785,627,1,1,1,2,block_16_1,block_16_1,complete_1,pipeline_1,pipeline,unroll_8,pipeline_1,pipeline_1,1.25,0.9386738879301227,False
workload_3968.cpp,xcu200-fsgd2104-2-e,3.33,11.10275946,1442,1,3,3,5,block_16_1,cyclic_16_1,complete_1,unroll_64,unroll_16,pipeline_1,pipeline,pipeline,3.0,0.5825770222690484,False
workload_3969.cpp,xcu200-fsgd2104-2-e,3.33,14.158037790000002,1540,1,1,1,3,cyclic_2_1,cyclic_128_1,complete_1,unroll_64,unroll_16,unroll_4,pipeline,pipeline_1,1.5,0.8613828248047285,False
workload_3970.cpp,xcu200-fsgd2104-2-e,3.33,14.08982274,1999,1,1,1,4,block_2_1,cyclic_128_1,complete_1,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll,1.75,0.813988918093167,False
