Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,InnerLoop_3_1,Area,Weight,is_pareto
workload_361.cpp,xczu7ev-ffvc1156-2-e,10.0,24.00286,354,18,1,1,17,cyclic_4_1,block_4_1,block_8_1,unroll_2,pipeline_1,pipeline_1,unroll_2,pipeline,unroll_32,pipeline,pipeline_1,unroll,9.25,0.8725584987026954,False
workload_362.cpp,xczu7ev-ffvc1156-2-e,10.0,109.0495,461,13,1,1,16,cyclic_4_1,block_32_1,cyclic_8_1,unroll_4,pipeline,unroll_2,unroll_4,unroll_2,unroll_16,pipeline,pipeline,unroll,7.75,0.6550812868978159,False
workload_363.cpp,xczu7ev-ffvc1156-2-e,10.0,22.86961,969,26,1,1,19,cyclic_64_1,cyclic_8_1,block_2_1,unroll_2,pipeline,pipeline_1,unroll,pipeline,unroll_32,pipeline,pipeline_1,pipeline_1,11.75,0.813731093956074,False
workload_364.cpp,xczu7ev-ffvc1156-2-e,10.0,22.86961,970,26,1,1,19,cyclic_64_1,cyclic_8_1,complete_1,unroll_2,pipeline,pipeline_1,unroll,pipeline,unroll_16,pipeline,pipeline,unroll,11.75,0.813731093956074,False
workload_365.cpp,xczu7ev-ffvc1156-2-e,10.0,9.8483,293,91,1,2,9,cyclic_4_1,cyclic_8_1,cyclic_2_1,unroll_4,unroll_4,unroll_2,unroll_2,pipeline,unroll_16,pipeline,pipeline,unroll,25.75,0.44554953280823506,False
workload_366.cpp,xczu7ev-ffvc1156-2-e,10.0,22.7777,1288,13,1,2,21,cyclic_4_1,cyclic_8_1,complete_1,unroll_4,pipeline,unroll,unroll_4,pipeline,unroll_16,unroll_32,pipeline,unroll,9.25,0.8751356056264378,False
workload_368.cpp,xczu7ev-ffvc1156-2-e,10.0,85.55678,284,12,1,1,14,cyclic_2_1,cyclic_8_1,complete_1,unroll_4,pipeline_1,pipeline_1,unroll_2,unroll_2,pipeline_1,pipeline,pipeline_1,unroll,7.0,0.7356198124483606,False
workload_370.cpp,xczu7ev-ffvc1156-2-e,10.0,53.3407,601,13,1,4,29,cyclic_4_1,cyclic_16_1,block_4_1,unroll_4,pipeline_1,unroll_4,unroll_4,unroll_8,unroll_16,pipeline,unroll,unroll,11.75,0.7489041305870223,False
workload_371.cpp,xczu7ev-ffvc1156-2-e,10.0,22.68618,345,13,1,2,19,cyclic_4_1,cyclic_4_1,complete_1,unroll_8,pipeline,pipeline_1,unroll_4,pipeline,pipeline,pipeline,pipeline,unroll,8.75,0.8877949516827717,False
workload_372.cpp,xczu7ev-ffvc1156-2-e,10.0,58.71162,250,75,1,13,19,block_2_1,cyclic_32_1,cyclic_8_1,unroll_4,unroll_2,unroll_2,unroll_4,pipeline_1,unroll_32,unroll_32,pipeline_1,unroll,27.0,0.3857621401586311,False
workload_379.cpp,xczu7ev-ffvc1156-2-e,10.0,85.1273,358,13,1,2,18,cyclic_4_1,block_16_1,cyclic_8_1,unroll_8,unroll_4,unroll_2,unroll_4,unroll_2,unroll_32,unroll_16,pipeline,unroll,8.5,0.7188345667157374,False
workload_381.cpp,xczu7ev-ffvc1156-2-e,10.0,14.53833,336,27,1,1,20,cyclic_2_1,block_128_1,cyclic_8_1,unroll_4,pipeline,unroll_2,unroll,pipeline,unroll_32,pipeline,pipeline,unroll,12.25,0.8167503658685881,False
workload_382.cpp,xczu7ev-ffvc1156-2-e,10.0,22.68618,527,18,1,1,25,cyclic_4_1,block_8_1,cyclic_4_1,unroll_4,pipeline,pipeline,unroll_4,pipeline,pipeline_1,unroll_4,pipeline,unroll,11.25,0.8261568431501136,False
