Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,InnerLoop_3_1,Area,Weight,is_pareto
workload_1046.cpp,xczu7ev-ffvc1156-2-e,5.0,70.447405,924,1,2,9,15,cyclic_2_1,complete_1,unroll,unroll_2,unroll_2,pipeline_1,6.75,0.7694257028650193,False
workload_1047.cpp,xczu7ev-ffvc1156-2-e,5.0,70.4381,219,1,1,5,9,cyclic_8_1,block_2_1,unroll_4,unroll_2,unroll_2,pipeline_1,4.0,0.9477234146226966,False
workload_1048.cpp,xczu7ev-ffvc1156-2-e,5.0,70.62011,86,1,1,3,6,block_8_1,block_2_1,unroll_2,unroll_2,unroll_2,pipeline_1,2.75,0.9999966928413738,False
workload_1049.cpp,xczu7ev-ffvc1156-2-e,5.0,657.99011,101,1,1,3,6,cyclic_4_1,cyclic_2_1,unroll_2,unroll_2,unroll_2,unroll_2,2.75,0.13709141501727587,False
workload_1050.cpp,xczu7ev-ffvc1156-2-e,5.0,93.09899,89,1,1,4,7,block_2_1,complete_1,unroll_2,unroll_2,unroll_2,pipeline,3.25,0.9425242343593728,False
workload_1053.cpp,xczu7ev-ffvc1156-2-e,5.0,70.4836,896,1,1,8,14,cyclic_8_1,cyclic_2_1,unroll_4,unroll_2,unroll_4,pipeline_1,6.0,0.8159671765234179,False
workload_1055.cpp,xczu7ev-ffvc1156-2-e,5.0,92.95011,188,1,1,4,8,complete_2,cyclic_2_1,unroll_2,unroll_2,unroll_4,pipeline,3.5,0.9349088657337378,False
workload_1056.cpp,xczu7ev-ffvc1156-2-e,5.0,92.8381,195,1,1,4,9,complete_2,cyclic_2_1,unroll_4,unroll_2,unroll_2,pipeline,3.75,0.9286862128409785,False
workload_1057.cpp,xczu7ev-ffvc1156-2-e,5.0,70.4381,196,1,1,4,9,block_8_1,block_2_1,unroll_4,unroll_2,unroll_2,pipeline_1,3.75,1.0,True
workload_1058.cpp,xczu7ev-ffvc1156-2-e,5.0,70.62011,90,1,1,3,6,cyclic_8_1,cyclic_2_1,unroll_2,unroll_2,unroll_2,pipeline_1,2.75,0.9999966928413738,False
workload_1059.cpp,xczu7ev-ffvc1156-2-e,5.0,70.4381,195,1,1,4,9,block_8_1,cyclic_2_1,unroll_4,unroll_2,unroll_2,pipeline_1,3.75,1.0,True
workload_1061.cpp,xczu7ev-ffvc1156-2-e,5.0,70.4381,191,1,1,5,9,cyclic_2_1,cyclic_2_1,unroll_4,unroll_2,unroll_2,pipeline_1,4.0,0.9477234146226966,False
workload_1065.cpp,xczu7ev-ffvc1156-2-e,5.0,92.8381,187,1,1,4,9,cyclic_4_1,complete_1,unroll_4,unroll_2,unroll_2,pipeline,3.75,0.9286862128409785,False
workload_1066.cpp,xczu7ev-ffvc1156-2-e,5.0,70.55011,187,1,1,5,8,complete_2,cyclic_2_1,unroll_2,unroll_2,unroll_4,pipeline_1,3.75,0.9648387597057484,False
workload_1067.cpp,xczu7ev-ffvc1156-2-e,5.0,70.44407,194,1,1,5,10,complete_1,cyclic_2_1,unroll_4,unroll_2,unroll_2,pipeline_1,4.25,0.9306457442338776,False
workload_1068.cpp,xczu7ev-ffvc1156-2-e,5.0,70.55011,185,1,1,4,8,block_8_1,block_2_1,unroll_2,unroll_2,unroll_4,pipeline_1,3.5,1.0,True
workload_1069.cpp,xczu7ev-ffvc1156-2-e,5.0,70.4381,195,1,1,5,9,cyclic_8_1,complete_1,unroll_4,unroll_2,unroll_2,pipeline_1,4.0,0.9477234146226966,False
workload_1070.cpp,xczu7ev-ffvc1156-2-e,5.0,92.8381,182,1,1,4,9,cyclic_2_1,cyclic_2_1,unroll_4,unroll_2,unroll_2,pipeline,3.75,0.9286862128409785,False
workload_1071.cpp,xczu7ev-ffvc1156-2-e,5.0,70.4381,187,1,1,4,9,complete_2,complete_1,unroll_4,unroll_2,unroll_2,pipeline_1,3.75,1.0,True
workload_1072.cpp,xczu7ev-ffvc1156-2-e,5.0,92.94107,188,1,1,4,9,complete_1,cyclic_2_1,unroll_2,unroll_2,unroll_4,pipeline,3.75,0.9284873581253592,False
workload_1073.cpp,xczu7ev-ffvc1156-2-e,5.0,70.4836,883,1,1,8,14,cyclic_8_1,block_2_1,unroll_4,unroll_2,unroll_4,pipeline_1,6.0,0.8159671765234179,False
workload_1074.cpp,xczu7ev-ffvc1156-2-e,5.0,92.8381,190,1,1,4,9,block_8_1,block_2_1,unroll_4,unroll_2,unroll_2,pipeline,3.75,0.9286862128409785,False
workload_1075.cpp,xczu7ev-ffvc1156-2-e,5.0,70.4381,196,1,1,4,9,cyclic_4_1,cyclic_2_1,unroll_4,unroll_2,unroll_2,pipeline_1,3.75,1.0,True
workload_1076.cpp,xczu7ev-ffvc1156-2-e,5.0,646.8356,1154,1,1,8,13,cyclic_4_1,cyclic_2_1,unroll_4,unroll_2,unroll_4,unroll_2,5.75,0.13925413780360266,False
workload_1077.cpp,xczu7ev-ffvc1156-2-e,5.0,92.95011,186,1,1,4,8,cyclic_4_1,block_2_1,unroll_2,unroll_2,unroll_4,pipeline,3.5,0.9349088657337378,False
workload_1078.cpp,xczu7ev-ffvc1156-2-e,5.0,92.84506,873,1,1,8,14,block_8_1,block_2_1,unroll_4,unroll_4,unroll_2,pipeline,6.0,0.8088233155456797,False
workload_1079.cpp,xczu7ev-ffvc1156-2-e,5.0,70.4836,896,1,1,8,14,cyclic_2_1,cyclic_2_1,unroll_4,unroll_2,unroll_4,pipeline_1,6.0,0.8159671765234179,False
workload_1080.cpp,xczu7ev-ffvc1156-2-e,5.0,70.4381,194,1,1,4,9,complete_2,block_2_1,unroll_4,unroll_2,unroll_2,pipeline_1,3.75,1.0,True
workload_1081.cpp,xczu7ev-ffvc1156-2-e,5.0,657.99011,99,1,1,3,6,cyclic_4_1,complete_1,unroll_2,unroll_2,unroll_2,unroll_2,2.75,0.13709141501727587,False
workload_1082.cpp,xczu7ev-ffvc1156-2-e,5.0,70.4381,196,1,1,4,9,block_8_1,complete_1,unroll_4,unroll_2,unroll_2,pipeline_1,3.75,1.0,True
workload_1083.cpp,xczu7ev-ffvc1156-2-e,5.0,70.447405,934,1,2,8,15,cyclic_4_1,complete_1,unroll,unroll_2,unroll_2,pipeline_1,6.5,0.7847657377909377,False
workload_1084.cpp,xczu7ev-ffvc1156-2-e,5.0,657.99011,101,1,1,3,6,cyclic_8_1,complete_1,unroll_2,unroll_2,unroll_2,unroll_2,2.75,0.13709141501727587,False
workload_1085.cpp,xczu7ev-ffvc1156-2-e,5.0,70.4836,888,1,1,8,14,cyclic_4_1,block_2_1,unroll_4,unroll_2,unroll_4,pipeline_1,6.0,0.8159671765234179,False
workload_1086.cpp,xczu7ev-ffvc1156-2-e,5.0,70.57457,882,1,1,8,14,complete_2,block_2_1,unroll_2,unroll_4,unroll_4,pipeline_1,6.0,0.8159671301053462,False
workload_1087.cpp,xczu7ev-ffvc1156-2-e,5.0,70.4836,878,1,1,8,14,block_8_1,block_2_1,unroll_4,unroll_2,unroll_4,pipeline_1,6.0,0.8159671765234179,False
workload_1089.cpp,xczu7ev-ffvc1156-2-e,5.0,92.847405,828,1,2,8,14,complete_2,block_2_1,unroll,unroll_2,unroll_2,pipeline,6.25,0.7938104107460481,False
workload_1091.cpp,xczu7ev-ffvc1156-2-e,5.0,92.95011,172,1,1,4,8,block_8_1,cyclic_2_1,unroll_2,unroll_2,unroll_4,pipeline,3.5,0.9349088657337378,False
workload_1092.cpp,xczu7ev-ffvc1156-2-e,5.0,93.03407,190,1,1,5,9,cyclic_2_1,block_2_1,unroll_2,unroll_4,unroll_2,pipeline,4.0,0.9200863238887116,False
workload_1093.cpp,xczu7ev-ffvc1156-2-e,5.0,70.63407,197,1,1,5,9,cyclic_8_1,complete_1,unroll_2,unroll_4,unroll_2,pipeline_1,4.0,0.9477206958167627,False
workload_1094.cpp,xczu7ev-ffvc1156-2-e,5.0,70.55011,199,1,1,4,9,cyclic_8_1,cyclic_2_1,unroll_2,unroll_2,unroll_4,pipeline_1,3.75,0.9648387597057484,False
workload_1095.cpp,xczu7ev-ffvc1156-2-e,5.0,70.55011,190,1,1,4,8,block_8_1,complete_1,unroll_2,unroll_2,unroll_4,pipeline_1,3.5,1.0,True
workload_1096.cpp,xczu7ev-ffvc1156-2-e,5.0,74.15365,957,1,1,11,25,cyclic_2_1,cyclic_2_1,unroll_2,unroll_2,unroll_8,pipeline_1,9.5,0.6120842131292958,False
workload_1097.cpp,xczu7ev-ffvc1156-2-e,5.0,70.4381,197,1,1,4,9,complete_2,cyclic_2_1,unroll_4,unroll_2,unroll_2,pipeline_1,3.75,1.0,True
workload_1100.cpp,xczu7ev-ffvc1156-2-e,5.0,93.02011,83,1,1,3,5,block_8_1,cyclic_2_1,unroll_2,unroll_2,unroll_2,pipeline,2.5,1.0,True
workload_1101.cpp,xczu7ev-ffvc1156-2-e,5.0,92.95011,183,1,1,4,8,cyclic_2_1,complete_1,unroll_2,unroll_2,unroll_4,pipeline,3.5,0.9349088657337378,False
workload_1104.cpp,xczu7ev-ffvc1156-2-e,5.0,70.55011,195,1,1,4,9,cyclic_8_1,block_2_1,unroll_2,unroll_2,unroll_4,pipeline_1,3.75,0.9648387597057484,False
workload_1105.cpp,xczu7ev-ffvc1156-2-e,5.0,70.4381,194,1,1,4,9,cyclic_4_1,block_2_1,unroll_4,unroll_2,unroll_2,pipeline_1,3.75,1.0,True
workload_1106.cpp,xczu7ev-ffvc1156-2-e,5.0,70.4836,854,1,1,8,14,block_8_1,cyclic_2_1,unroll_4,unroll_2,unroll_4,pipeline_1,6.0,0.8159671765234179,False
workload_1110.cpp,xczu7ev-ffvc1156-2-e,5.0,93.02011,83,1,1,3,5,block_8_1,block_2_1,unroll_2,unroll_2,unroll_2,pipeline,2.5,1.0,True
workload_1111.cpp,xczu7ev-ffvc1156-2-e,5.0,92.8381,189,1,1,4,9,block_8_1,cyclic_2_1,unroll_4,unroll_2,unroll_2,pipeline,3.75,0.9286862128409785,False
workload_1112.cpp,xczu7ev-ffvc1156-2-e,5.0,70.54107,197,1,1,4,9,complete_1,cyclic_2_1,unroll_2,unroll_2,unroll_4,pipeline_1,3.75,0.9648497619281543,False
workload_1113.cpp,xczu7ev-ffvc1156-2-e,5.0,92.8381,189,1,1,4,9,complete_2,block_2_1,unroll_4,unroll_2,unroll_2,pipeline,3.75,0.9286862128409785,False
workload_1114.cpp,xczu7ev-ffvc1156-2-e,5.0,92.8381,192,1,1,4,9,block_8_1,complete_1,unroll_4,unroll_2,unroll_2,pipeline,3.75,0.9286862128409785,False
workload_1115.cpp,xczu7ev-ffvc1156-2-e,5.0,70.4836,900,1,1,8,14,cyclic_2_1,complete_1,unroll_4,unroll_2,unroll_4,pipeline_1,6.0,0.8159671765234179,False
workload_1116.cpp,xczu7ev-ffvc1156-2-e,5.0,74.15365,969,1,1,11,25,block_8_1,cyclic_2_1,unroll_2,unroll_2,unroll_8,pipeline_1,9.5,0.6120842131292958,False
workload_1117.cpp,xczu7ev-ffvc1156-2-e,5.0,70.446735,952,1,2,8,17,complete_1,complete_1,unroll,unroll_2,unroll_2,pipeline_1,7.0,0.7542594406340372,False
workload_1118.cpp,xczu7ev-ffvc1156-2-e,5.0,70.447405,906,1,2,8,15,block_8_1,cyclic_2_1,unroll,unroll_2,unroll_2,pipeline_1,6.5,0.7847657377909377,False
workload_1122.cpp,xczu7ev-ffvc1156-2-e,5.0,92.95011,183,1,1,4,8,block_8_1,complete_1,unroll_2,unroll_2,unroll_4,pipeline,3.5,0.9349088657337378,False
workload_1123.cpp,xczu7ev-ffvc1156-2-e,5.0,92.95011,203,1,1,4,8,block_8_1,block_2_1,unroll_2,unroll_2,unroll_4,pipeline,3.5,0.9349088657337378,False
workload_1124.cpp,xczu7ev-ffvc1156-2-e,5.0,646.7901,234,1,1,5,9,cyclic_8_1,complete_1,unroll_4,unroll_2,unroll_2,unroll_2,4.0,0.14224067794762707,False
workload_1125.cpp,xczu7ev-ffvc1156-2-e,5.0,70.4836,882,1,1,8,13,complete_2,cyclic_2_1,unroll_4,unroll_2,unroll_4,pipeline_1,5.75,0.8318285342741193,False
workload_1126.cpp,xczu7ev-ffvc1156-2-e,5.0,646.8356,1040,1,1,8,13,cyclic_2_1,block_2_1,unroll_4,unroll_2,unroll_4,unroll_2,5.75,0.13925413780360266,False
workload_1127.cpp,xczu7ev-ffvc1156-2-e,5.0,70.63407,194,1,1,5,9,cyclic_2_1,block_2_1,unroll_2,unroll_4,unroll_2,pipeline_1,4.0,0.9477206958167627,False
workload_1128.cpp,xczu7ev-ffvc1156-2-e,5.0,70.44506,907,1,1,8,14,complete_2,complete_1,unroll_4,unroll_4,unroll_2,pipeline_1,6.0,0.8159671228384473,False
workload_1129.cpp,xczu7ev-ffvc1156-2-e,5.0,70.4836,888,1,1,8,14,block_8_1,complete_1,unroll_4,unroll_2,unroll_4,pipeline_1,6.0,0.8159671765234179,False
workload_1130.cpp,xczu7ev-ffvc1156-2-e,5.0,106.33243,844,1,1,8,15,complete_2,block_2_1,unroll_2,unroll_8,unroll_2,pipeline,6.25,0.7841521940948547,False
workload_1132.cpp,xczu7ev-ffvc1156-2-e,5.0,93.02011,81,1,1,3,6,cyclic_8_1,complete_1,unroll_2,unroll_2,unroll_2,pipeline,2.75,0.9640491335757904,False
workload_1133.cpp,xczu7ev-ffvc1156-2-e,5.0,70.69899,92,1,1,4,7,block_2_1,cyclic_2_1,unroll_2,unroll_2,unroll_2,pipeline_1,3.25,0.9822450106901338,False
workload_1134.cpp,xczu7ev-ffvc1156-2-e,5.0,92.97457,853,1,1,8,14,block_8_1,complete_1,unroll_2,unroll_4,unroll_4,pipeline,6.0,0.8087422969722909,False
workload_1135.cpp,xczu7ev-ffvc1156-2-e,5.0,92.8836,868,1,1,8,14,cyclic_8_1,cyclic_2_1,unroll_4,unroll_2,unroll_4,pipeline,6.0,0.8087992499993716,False
workload_1136.cpp,xczu7ev-ffvc1156-2-e,5.0,646.7901,234,1,1,5,9,cyclic_4_1,complete_1,unroll_4,unroll_2,unroll_2,unroll_2,4.0,0.14224067794762707,False
workload_1137.cpp,xczu7ev-ffvc1156-2-e,5.0,652.40411,229,1,1,5,8,block_8_1,complete_1,unroll_2,unroll_2,unroll_4,unroll_2,3.75,0.13950419733717315,False
workload_1138.cpp,xczu7ev-ffvc1156-2-e,5.0,92.8381,193,1,1,4,9,cyclic_4_1,cyclic_2_1,unroll_4,unroll_2,unroll_2,pipeline,3.75,0.9286862128409785,False
workload_1139.cpp,xczu7ev-ffvc1156-2-e,5.0,92.847405,870,1,2,8,14,cyclic_2_1,block_2_1,unroll,unroll_2,unroll_2,pipeline,6.25,0.7938104107460481,False
workload_1143.cpp,xczu7ev-ffvc1156-2-e,5.0,70.4836,866,1,1,8,13,complete_2,block_2_1,unroll_4,unroll_2,unroll_4,pipeline_1,5.75,0.8318285342741193,False
workload_1147.cpp,xczu7ev-ffvc1156-2-e,5.0,70.69899,93,1,1,4,8,block_4_1,cyclic_2_1,unroll_2,unroll_2,unroll_2,pipeline_1,3.5,0.9734837017932806,False
workload_1148.cpp,xczu7ev-ffvc1156-2-e,5.0,657.99011,98,1,1,3,6,complete_2,block_2_1,unroll_2,unroll_2,unroll_2,unroll_2,2.75,0.13709141501727587,False
workload_1149.cpp,xczu7ev-ffvc1156-2-e,5.0,93.09899,92,1,1,4,7,block_4_1,block_2_1,unroll_2,unroll_2,unroll_2,pipeline,3.25,0.9425242343593728,False
workload_1150.cpp,xczu7ev-ffvc1156-2-e,5.0,70.64299,203,1,1,5,9,block_2_1,block_2_1,unroll_2,unroll_2,unroll_4,pipeline_1,4.0,0.9477203856494392,False
workload_1151.cpp,xczu7ev-ffvc1156-2-e,5.0,70.51698,221,1,1,6,11,block_2_1,complete_1,unroll_4,unroll_2,unroll_2,pipeline_1,4.75,0.8970116716667756,False
workload_1152.cpp,xczu7ev-ffvc1156-2-e,5.0,652.40411,229,1,1,5,8,cyclic_4_1,block_2_1,unroll_2,unroll_2,unroll_4,unroll_2,3.75,0.13950419733717315,False
workload_1154.cpp,xczu7ev-ffvc1156-2-e,5.0,92.8381,191,1,1,4,9,complete_2,complete_1,unroll_4,unroll_2,unroll_2,pipeline,3.75,0.9286862128409785,False
workload_1159.cpp,xczu7ev-ffvc1156-2-e,5.0,652.40207,230,1,1,5,9,complete_1,complete_1,unroll_2,unroll_2,unroll_4,unroll_2,4.0,0.13927487384297976,False
workload_1160.cpp,xczu7ev-ffvc1156-2-e,5.0,92.847405,860,1,2,8,14,cyclic_2_1,cyclic_2_1,unroll,unroll_2,unroll_2,pipeline,6.25,0.7938104107460481,False
workload_1161.cpp,xczu7ev-ffvc1156-2-e,5.0,70.57457,866,1,1,8,14,block_8_1,complete_1,unroll_2,unroll_4,unroll_4,pipeline_1,6.0,0.8159671301053462,False
workload_1162.cpp,xczu7ev-ffvc1156-2-e,5.0,70.47907,887,1,1,8,15,complete_1,cyclic_2_1,unroll_4,unroll_2,unroll_4,pipeline_1,6.25,0.8002795879046579,False
workload_1164.cpp,xczu7ev-ffvc1156-2-e,5.0,70.51698,215,1,1,6,12,block_4_1,complete_1,unroll_4,unroll_2,unroll_2,pipeline_1,5.0,0.8804552408266572,False
workload_1170.cpp,xczu7ev-ffvc1156-2-e,5.0,657.99011,95,1,1,3,6,complete_2,cyclic_2_1,unroll_2,unroll_2,unroll_2,unroll_2,2.75,0.13709141501727587,False
workload_1171.cpp,xczu7ev-ffvc1156-2-e,5.0,657.99011,96,1,1,3,6,cyclic_2_1,complete_1,unroll_2,unroll_2,unroll_2,unroll_2,2.75,0.13709141501727587,False
workload_1172.cpp,xczu7ev-ffvc1156-2-e,5.0,70.64573,197,1,1,5,10,complete_1,cyclic_2_1,unroll_2,unroll_4,unroll_2,pipeline_1,4.25,0.9306443453484952,False
workload_1173.cpp,xczu7ev-ffvc1156-2-e,5.0,652.40411,227,1,1,5,8,block_8_1,block_2_1,unroll_2,unroll_2,unroll_4,unroll_2,3.75,0.13950419733717315,False
workload_1174.cpp,xczu7ev-ffvc1156-2-e,5.0,92.8836,853,1,1,8,13,cyclic_2_1,block_2_1,unroll_4,unroll_2,unroll_4,pipeline,5.75,0.8238443933335201,False
workload_1175.cpp,xczu7ev-ffvc1156-2-e,5.0,74.15365,963,1,1,11,25,block_8_1,complete_1,unroll_2,unroll_2,unroll_8,pipeline_1,9.5,0.6120842131292958,False
workload_1194.cpp,xczu7ev-ffvc1156-2-e,3.33,64.70660529,505,1,1,45,51,complete_2,complete_1,unroll,unroll_2,unroll_4,pipeline_1,24.5,0.5301722306879838,False
workload_1210.cpp,xczu7ev-ffvc1156-2-e,3.33,108.09886293,2537,1,4,89,84,cyclic_4_1,complete_1,unroll,unroll_8,unroll_2,pipeline,44.5,0.18225942792294786,False
workload_1259.cpp,xczu7ev-ffvc1156-2-e,3.33,587.4473412899999,857,1,2,17,23,complete_2,cyclic_2_1,unroll,unroll_2,unroll_4,unroll_2,10.75,0.19543840563263462,False
workload_1280.cpp,xczu7ev-ffvc1156-2-e,3.33,64.70660529,480,1,1,45,51,complete_2,cyclic_2_1,unroll,unroll_2,unroll_4,pipeline_1,24.5,0.5301722306879838,False
workload_1390.cpp,xczu7ev-ffvc1156-2-e,3.33,587.41237629,256,1,2,10,15,complete_2,cyclic_2_1,unroll,unroll_2,unroll_2,unroll_2,7.0,0.23714634966947493,False
workload_1401.cpp,xczu7ev-ffvc1156-2-e,3.33,587.4343509600001,276,1,1,9,14,complete_2,complete_1,unroll_4,unroll_2,unroll_4,unroll_2,6.25,0.24585635192408264,False
workload_1429.cpp,xczu7ev-ffvc1156-2-e,3.33,657.21508038,1106,1,1,30,55,complete_2,complete_1,unroll_4,unroll_2,unroll_8,unroll_2,21.75,0.100548377162632,False
workload_1444.cpp,xczu7ev-ffvc1156-2-e,3.33,154.0460997,3382,1,4,32,43,complete_2,cyclic_2_1,unroll_2,unroll_2,unroll_4,unroll_32,20.0,0.4749823414827591,False
workload_1465.cpp,xczu7ev-ffvc1156-2-e,3.33,64.67164029,160,1,1,24,29,complete_2,cyclic_2_1,unroll,unroll_2,unroll_2,pipeline_1,13.75,0.7640961648581852,False
workload_1475.cpp,xczu7ev-ffvc1156-2-e,3.33,591.1552197000001,123,1,1,5,9,complete_2,cyclic_2_1,unroll_2,unroll_2,unroll_4,unroll_2,4.0,1.0,True
workload_1489.cpp,xczu7ev-ffvc1156-2-e,3.33,62.65687374,440,1,1,54,76,complete_2,complete_1,unroll_4,unroll_2,unroll_8,pipeline_1,33.0,0.3838774803609979,False
workload_1491.cpp,xczu7ev-ffvc1156-2-e,3.33,587.44604592,967,1,1,16,23,complete_2,complete_1,unroll_4,unroll_4,unroll_4,unroll_2,10.25,0.20076451408569934,False
workload_1496.cpp,xczu7ev-ffvc1156-2-e,3.33,94.61799729,453,1,1,45,43,cyclic_4_1,cyclic_2_1,unroll,unroll_2,unroll_4,pipeline,22.5,0.5261603505934507,False
workload_1498.cpp,xczu7ev-ffvc1156-2-e,3.33,657.26742132,1305,1,1,31,58,block_4_1,complete_1,unroll_4,unroll_2,unroll_8,unroll_2,22.75,0.1000116907856349,False
workload_1504.cpp,xczu7ev-ffvc1156-2-e,3.33,154.0460997,3038,1,3,31,42,cyclic_4_1,cyclic_2_1,unroll_2,unroll_2,unroll_4,unroll_32,19.25,0.48756257420136195,False
workload_1514.cpp,xczu7ev-ffvc1156-2-e,3.33,94.61799729,472,1,1,45,43,complete_2,cyclic_2_1,unroll,unroll_2,unroll_4,pipeline,22.5,0.5261603505934507,False
workload_1518.cpp,xczu7ev-ffvc1156-2-e,3.33,94.61799729,485,1,1,45,43,complete_2,complete_1,unroll,unroll_2,unroll_4,pipeline,22.5,0.5261603505934507,False
workload_1521.cpp,xczu7ev-ffvc1156-2-e,3.33,94.60558638,175,1,1,22,23,cyclic_4_1,cyclic_2_1,unroll_4,unroll_2,unroll_4,pipeline,11.75,0.7554035633653949,False
workload_1523.cpp,xczu7ev-ffvc1156-2-e,3.33,587.4473412899999,893,1,2,17,23,cyclic_4_1,complete_1,unroll,unroll_2,unroll_4,unroll_2,10.75,0.19543840563263462,False
workload_1536.cpp,xczu7ev-ffvc1156-2-e,3.33,64.70660529,502,1,1,45,52,cyclic_4_1,cyclic_2_1,unroll,unroll_2,unroll_4,pipeline_1,24.75,0.5253564807639952,False
workload_1537.cpp,xczu7ev-ffvc1156-2-e,3.33,587.40637896,113,1,1,6,9,complete_2,complete_1,unroll_4,unroll_2,unroll_2,unroll_2,4.25,1.0,True
workload_1538.cpp,xczu7ev-ffvc1156-2-e,3.33,94.6522197,87,1,1,12,14,cyclic_4_1,complete_1,unroll_2,unroll_2,unroll_4,pipeline,7.0,0.861722196273859,False
workload_1539.cpp,xczu7ev-ffvc1156-2-e,3.33,64.66564296,88,1,1,12,16,complete_2,cyclic_2_1,unroll_4,unroll_2,unroll_2,pipeline_1,7.5,1.0,True
workload_1541.cpp,xczu7ev-ffvc1156-2-e,3.33,649.74607686,306,1,1,14,28,complete_2,cyclic_2_1,unroll_2,unroll_2,unroll_8,unroll_2,11.0,0.14955599836491934,False
workload_1543.cpp,xczu7ev-ffvc1156-2-e,3.33,587.43493038,278,1,1,9,14,cyclic_4_1,complete_1,unroll_4,unroll_2,unroll_4,unroll_2,6.25,0.2458558943677236,False
workload_1553.cpp,xczu7ev-ffvc1156-2-e,3.33,335.69934129,1439,1,2,22,31,complete_2,complete_1,unroll,unroll_2,unroll_4,unroll_4,14.0,0.3473192305327828,False
workload_1555.cpp,xczu7ev-ffvc1156-2-e,3.33,591.1552197000001,111,1,1,5,9,complete_2,complete_1,unroll_2,unroll_2,unroll_4,unroll_2,4.0,1.0,True
workload_1559.cpp,xczu7ev-ffvc1156-2-e,3.33,108.09591588,520,1,1,45,44,complete_2,complete_1,unroll_4,unroll_8,unroll_2,pipeline,22.75,0.501149670981218,False
workload_1569.cpp,xczu7ev-ffvc1156-2-e,3.33,64.67164029,172,1,1,24,29,complete_2,complete_1,unroll,unroll_2,unroll_2,pipeline_1,13.75,0.7640961648581852,False
workload_1570.cpp,xczu7ev-ffvc1156-2-e,3.33,587.4343509600001,276,1,1,9,14,complete_2,cyclic_2_1,unroll_4,unroll_2,unroll_4,unroll_2,6.25,0.24585635192408264,False
workload_1571.cpp,xczu7ev-ffvc1156-2-e,3.33,74.0240685,467,1,1,45,52,cyclic_4_1,complete_1,unroll_2,unroll_8,unroll_4,pipeline_1,24.75,0.512766771191865,False
workload_1572.cpp,xczu7ev-ffvc1156-2-e,3.33,94.57761438,88,1,1,12,14,cyclic_4_1,cyclic_2_1,unroll_4,unroll_2,unroll_2,pipeline,7.0,0.861946854033365,False
workload_1573.cpp,xczu7ev-ffvc1156-2-e,3.33,94.61799729,481,1,1,45,43,cyclic_4_1,complete_1,unroll,unroll_2,unroll_4,pipeline,22.5,0.5261603505934507,False
workload_1574.cpp,xczu7ev-ffvc1156-2-e,3.33,657.2156598,1171,1,1,30,55,cyclic_4_1,complete_1,unroll_4,unroll_2,unroll_8,unroll_2,21.75,0.10054834390039469,False
workload_1575.cpp,xczu7ev-ffvc1156-2-e,3.33,64.67164029,169,1,1,24,29,cyclic_4_1,cyclic_2_1,unroll,unroll_2,unroll_2,pipeline_1,13.75,0.7640961648581852,False
workload_1577.cpp,xczu7ev-ffvc1156-2-e,3.33,587.4913538999999,293,1,1,11,16,block_4_1,complete_1,unroll_4,unroll_2,unroll_4,unroll_2,7.25,0.23420054809457627,False
workload_1582.cpp,xczu7ev-ffvc1156-2-e,3.33,64.66564296,88,1,1,12,16,complete_2,complete_1,unroll_4,unroll_2,unroll_2,pipeline_1,7.5,1.0,True
workload_1586.cpp,xczu7ev-ffvc1156-2-e,3.33,587.4473412899999,935,1,2,17,23,cyclic_4_1,cyclic_2_1,unroll,unroll_2,unroll_4,unroll_2,10.75,0.19543840563263462,False
workload_1588.cpp,xczu7ev-ffvc1156-2-e,3.33,94.6522197,86,1,1,12,14,cyclic_4_1,cyclic_2_1,unroll_2,unroll_2,unroll_4,pipeline,7.0,0.861722196273859,False
workload_1590.cpp,xczu7ev-ffvc1156-2-e,3.33,94.57703496,87,1,1,12,14,complete_2,cyclic_2_1,unroll_4,unroll_2,unroll_2,pipeline,7.0,0.8619485984813872,False
workload_1591.cpp,xczu7ev-ffvc1156-2-e,3.33,64.7408277,86,1,1,12,16,complete_2,cyclic_2_1,unroll_2,unroll_2,unroll_4,pipeline_1,7.5,0.9247235809288448,False
workload_1596.cpp,xczu7ev-ffvc1156-2-e,3.33,587.4473412899999,965,1,2,17,24,cyclic_8_1,cyclic_2_1,unroll,unroll_2,unroll_4,unroll_2,11.0,0.19280782917034828,False
workload_1599.cpp,xczu7ev-ffvc1156-2-e,3.33,64.70530992,487,1,1,45,51,complete_2,complete_1,unroll_4,unroll_4,unroll_4,pipeline_1,24.5,0.5301739756988034,False
workload_1601.cpp,xczu7ev-ffvc1156-2-e,3.33,64.69361496,171,1,1,23,28,complete_2,complete_1,unroll_4,unroll_2,unroll_4,pipeline_1,13.25,0.7762790008771876,False
workload_1606.cpp,xczu7ev-ffvc1156-2-e,3.33,587.4473412899999,831,1,2,17,23,cyclic_2_1,block_2_1,unroll,unroll_2,unroll_4,unroll_2,10.75,0.19543840563263462,False
workload_1607.cpp,xczu7ev-ffvc1156-2-e,3.33,64.7408277,83,1,1,12,16,cyclic_4_1,complete_1,unroll_2,unroll_2,unroll_4,pipeline_1,7.5,0.9247235809288448,False
