Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,Area,Weight,is_pareto
workload_130.cpp,xczu7ev-ffvc1156-2-e,10.0,397.08073,53,26,1,1,6,cyclic_4_1,cyclic_8_1,complete_1,unroll_4,unroll_2,pipeline_1,8.5,0.7851138854973098,False
workload_132.cpp,xczu7ev-ffvc1156-2-e,10.0,597.41571,500,26,1,7,47,cyclic_4_1,cyclic_32_1,complete_1,unroll,unroll_4,pipeline,20.25,0.3079600036122446,False
workload_150.cpp,xczu7ev-ffvc1156-2-e,10.0,380.59695,168,27,2,3,11,cyclic_128_1,block_8_1,block_4_1,unroll_2,unroll_2,unroll_8,10.75,0.7761935798997298,False
workload_154.cpp,xczu7ev-ffvc1156-2-e,10.0,14.33757,987,24,1,27,76,block_2_1,block_2_1,complete_1,unroll_2,pipeline,pipeline,32.0,0.4229484273070032,False
workload_160.cpp,xczu7ev-ffvc1156-2-e,10.0,323.52149,48,24,1,1,5,cyclic_4_1,cyclic_2_1,complete_1,unroll_2,unroll_2,unroll_8,7.75,0.9465905511468024,False
workload_161.cpp,xczu7ev-ffvc1156-2-e,10.0,397.73631,48,26,1,1,5,cyclic_8_1,cyclic_16_1,block_2_1,unroll_2,unroll_2,pipeline_1,8.25,0.7864377871407147,False
workload_162.cpp,xczu7ev-ffvc1156-2-e,10.0,398.47454,51,31,1,9,20,block_2_1,block_64_1,block_4_1,unroll_2,unroll_2,pipeline,15.25,0.6262440087929494,False
workload_163.cpp,xczu7ev-ffvc1156-2-e,10.0,291.57269,56,24,1,5,9,block_2_1,block_2_1,complete_1,unroll_2,unroll_2,unroll_4,9.75,0.9369724516952872,False
workload_164.cpp,xczu7ev-ffvc1156-2-e,10.0,399.14031,56,47,4,10,19,block_64_1,block_8_1,block_2_1,unroll_2,unroll_2,pipeline,20.0,0.48177547031199663,False
workload_165.cpp,xczu7ev-ffvc1156-2-e,10.0,449.29675,64,25,1,2,10,cyclic_8_1,cyclic_2_1,cyclic_2_1,unroll_4,unroll_4,pipeline_1,9.5,0.6748457709761965,False
workload_166.cpp,xczu7ev-ffvc1156-2-e,10.0,688.43998,67,26,1,33,56,block_2_1,cyclic_8_1,cyclic_4_1,unroll_2,unroll_8,pipeline,29.0,0.14268960734270225,False
workload_167.cpp,xczu7ev-ffvc1156-2-e,10.0,586.6025,67,26,1,2,11,cyclic_4_1,cyclic_16_1,block_2_1,unroll_4,unroll_4,pipeline_1,10.0,0.4490473746128467,False
workload_168.cpp,xczu7ev-ffvc1156-2-e,10.0,308.44191,55,47,4,9,18,block_64_1,cyclic_4_1,cyclic_4_1,unroll_2,unroll_2,pipeline,19.5,0.5610862728169355,False
workload_169.cpp,xczu7ev-ffvc1156-2-e,10.0,411.54714,103,28,2,3,18,cyclic_16_1,cyclic_16_1,complete_1,unroll_4,unroll_2,unroll_16,12.75,0.6813079521867725,False
workload_170.cpp,xczu7ev-ffvc1156-2-e,10.0,378.94318,103,31,1,7,22,block_2_1,cyclic_64_1,cyclic_2_1,unroll_2,unroll_2,unroll_8,15.25,0.6465390436870396,False
workload_171.cpp,xczu7ev-ffvc1156-2-e,10.0,378.94309,113,32,1,8,26,block_4_1,cyclic_64_1,complete_1,unroll_2,unroll_2,unroll_8,16.75,0.5973978185128835,False
workload_172.cpp,xczu7ev-ffvc1156-2-e,10.0,308.44191,56,46,4,10,19,block_64_1,block_2_1,cyclic_2_1,unroll_2,unroll_2,pipeline_1,19.75,0.5530506385402925,False
workload_173.cpp,xczu7ev-ffvc1156-2-e,10.0,397.0809,75,31,1,1,12,cyclic_4_1,cyclic_64_1,block_2_1,unroll_4,unroll_2,pipeline_1,11.25,0.7379563559150236,False
workload_174.cpp,xczu7ev-ffvc1156-2-e,10.0,411.54735,63,26,1,2,8,cyclic_8_1,cyclic_8_1,cyclic_2_1,unroll_2,unroll_2,unroll_16,9.25,0.7469770390654503,False
workload_175.cpp,xczu7ev-ffvc1156-2-e,10.0,298.88415,74,47,8,3,9,block_64_1,block_4_1,cyclic_2_1,unroll_2,unroll_2,unroll_2,16.75,0.6604158101828181,False
workload_176.cpp,xczu7ev-ffvc1156-2-e,10.0,307.03781,123,26,1,4,20,cyclic_32_1,cyclic_2_1,block_2_1,unroll,unroll_2,pipeline_1,12.75,0.8057208298253631,False
workload_177.cpp,xczu7ev-ffvc1156-2-e,10.0,298.88415,68,47,7,2,8,block_64_1,cyclic_4_1,cyclic_4_1,unroll_2,unroll_2,unroll_2,16.0,0.6874386080719803,False
workload_178.cpp,xczu7ev-ffvc1156-2-e,10.0,380.59686,211,27,2,3,10,cyclic_128_1,block_8_1,complete_1,unroll_2,unroll_2,unroll_8,10.5,0.7807042811832445,False
workload_179.cpp,xczu7ev-ffvc1156-2-e,10.0,378.94318,164,42,1,7,37,block_4_1,cyclic_128_1,block_2_1,unroll_2,unroll_2,unroll_8,21.75,0.44752825224474213,False
workload_180.cpp,xczu7ev-ffvc1156-2-e,10.0,379.59855,147,39,28,8,24,block_16_1,cyclic_64_1,block_2_1,unroll_2,unroll_2,unroll_8,24.75,0.3692181889872924,False
workload_181.cpp,xczu7ev-ffvc1156-2-e,10.0,514.6291,263,25,1,28,42,block_2_1,cyclic_4_1,cyclic_2_1,unroll_2,unroll_8,unroll_8,24.0,0.3010522573605171,False
