Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,OuterLoop_1,OuterLoop_2,OuterLoop_3,InnerLoop_1_1,Area,Weight,is_pareto
workload_107.cpp,xczu7ev-ffvc1156-2-e,10.0,24.0018,225,25,7,11,30,block_16_1,block_64_1,block_16_1,block_128_1,block_16_1,cyclic_64_1,block_8_1,block_32_1,cyclic_2_1,complete_1,unroll_16,pipeline,unroll_32,unroll_8,18.25,0.6624552123417311,False
workload_110.cpp,xczu7ev-ffvc1156-2-e,10.0,7.11676,137,20,1,10,17,cyclic_2_1,block_16_1,cyclic_4_1,cyclic_2_1,cyclic_128_1,cyclic_16_1,cyclic_16_1,cyclic_4_1,cyclic_8_1,complete_1,pipeline,unroll_2,unroll_64,unroll_64,12.0,0.8864544113412728,False
workload_111.cpp,xczu7ev-ffvc1156-2-e,10.0,19.9676,179,22,1,5,17,cyclic_2_1,cyclic_64_1,block_32_1,cyclic_4_1,cyclic_128_1,cyclic_128_1,cyclic_4_1,block_32_1,block_8_1,complete_1,unroll_2,unroll_2,unroll_64,unroll_8,11.25,0.8152477950600637,False
workload_113.cpp,xczu7ev-ffvc1156-2-e,10.0,17.97352,1380,19,1,11,36,cyclic_8_1,block_2_1,cyclic_4_1,block_64_1,cyclic_128_1,cyclic_16_1,block_64_1,block_64_1,cyclic_16_1,complete_1,unroll_16,unroll_16,unroll_8,unroll_32,16.75,0.7264987341141056,False
workload_115.cpp,xczu7ev-ffvc1156-2-e,10.0,15.97232,1442,17,1,9,39,cyclic_2_1,cyclic_64_1,block_128_1,cyclic_2_1,block_32_1,cyclic_128_1,block_4_1,cyclic_128_1,cyclic_2_1,complete_1,unroll_32,unroll_2,unroll_16,unroll_32,16.5,0.7415539141016961,False
workload_116.cpp,xczu7ev-ffvc1156-2-e,10.0,35.2566,177,29,1,6,24,cyclic_32_1,block_32_1,cyclic_128_1,cyclic_16_1,block_16_1,block_8_1,cyclic_16_1,cyclic_8_1,cyclic_8_1,complete_1,unroll_32,pipeline,unroll_4,unroll_2,15.0,0.6340698748914154,False
workload_117.cpp,xczu7ev-ffvc1156-2-e,10.0,26.05472,165,22,1,6,19,cyclic_8_1,cyclic_4_1,block_2_1,block_8_1,cyclic_4_1,block_32_1,block_4_1,block_16_1,block_32_1,complete_1,unroll_64,unroll_4,unroll_4,unroll_2,12.0,0.7499425605809764,False
workload_118.cpp,xczu7ev-ffvc1156-2-e,10.0,16.89492,515,19,1,8,24,cyclic_2_1,block_2_1,cyclic_2_1,cyclic_2_1,block_32_1,cyclic_128_1,block_8_1,cyclic_128_1,cyclic_2_1,complete_1,unroll_32,pipeline_1,unroll_16,unroll_16,13.0,0.8135508909024233,False
workload_119.cpp,xczu7ev-ffvc1156-2-e,10.0,22.01048,343,27,1,8,43,cyclic_128_1,block_128_1,block_32_1,cyclic_4_1,cyclic_128_1,cyclic_128_1,cyclic_4_1,block_32_1,block_8_1,complete_1,unroll_4,unroll_2,unroll_64,unroll_8,19.75,0.6416384465933477,False
workload_120.cpp,xczu7ev-ffvc1156-2-e,10.0,6.87201,112,20,3,10,15,cyclic_4_1,cyclic_8_1,cyclic_2_1,block_8_1,block_4_1,block_32_1,cyclic_2_1,cyclic_128_1,cyclic_8_1,complete_1,pipeline,unroll_2,unroll_2,unroll_32,12.0,0.8864105826376869,False
workload_121.cpp,xczu7ev-ffvc1156-2-e,10.0,8.63428,181,25,20,19,39,cyclic_32_1,block_64_1,block_16_1,cyclic_32_1,block_16_1,cyclic_2_1,block_4_1,block_2_1,cyclic_32_1,complete_1,pipeline,pipeline,unroll_64,pipeline_1,25.75,0.5376210800877274,False
workload_122.cpp,xczu7ev-ffvc1156-2-e,10.0,43.47696,147,18,1,8,21,block_2_1,cyclic_4_1,cyclic_4_1,cyclic_64_1,block_32_1,cyclic_4_1,block_2_1,cyclic_32_1,block_4_1,complete_1,unroll_32,unroll_4,unroll_16,unroll_2,12.0,0.5884985804240411,False
workload_123.cpp,xczu7ev-ffvc1156-2-e,10.0,17.97968,349,30,1,4,33,cyclic_16_1,block_8_1,cyclic_32_1,cyclic_2_1,cyclic_2_1,cyclic_2_1,block_4_1,cyclic_4_1,cyclic_2_1,complete_1,unroll_16,unroll_2,unroll_32,unroll_32,17.0,0.720807264630549,False
workload_124.cpp,xczu7ev-ffvc1156-2-e,10.0,31.10964,97,23,1,3,10,cyclic_2_1,block_2_1,block_32_1,block_4_1,cyclic_4_1,cyclic_128_1,block_2_1,cyclic_2_1,block_2_1,complete_1,unroll_4,pipeline_1,unroll_32,unroll_2,9.25,0.724933447861519,False
workload_125.cpp,xczu7ev-ffvc1156-2-e,10.0,19.18288,113,31,1,2,13,cyclic_8_1,cyclic_32_1,cyclic_32_1,cyclic_64_1,cyclic_2_1,cyclic_2_1,cyclic_32_1,cyclic_8_1,block_32_1,complete_1,unroll_16,unroll_2,unroll_32,unroll_8,11.75,0.8158360888303089,False
workload_126.cpp,xczu7ev-ffvc1156-2-e,10.0,6.88168,207,18,3,14,23,cyclic_4_1,cyclic_64_1,cyclic_2_1,cyclic_2_1,block_32_1,cyclic_128_1,cyclic_64_1,cyclic_128_1,cyclic_2_1,complete_1,pipeline,unroll_2,unroll_16,pipeline_1,14.5,0.8155729262524326,False
workload_127.cpp,xczu7ev-ffvc1156-2-e,10.0,7.11676,212,17,1,10,20,cyclic_2_1,cyclic_4_1,block_4_1,cyclic_2_1,cyclic_128_1,cyclic_128_1,cyclic_16_1,cyclic_2_1,block_8_1,complete_1,pipeline_1,unroll_2,unroll_64,unroll_8,12.0,0.8864544113412728,False
workload_128.cpp,xczu7ev-ffvc1156-2-e,10.0,35.2358,224,23,1,7,20,cyclic_64_1,block_2_1,block_128_1,cyclic_16_1,block_4_1,block_128_1,block_8_1,block_16_1,cyclic_128_1,complete_1,unroll_2,pipeline_1,unroll_4,unroll_2,12.75,0.6576776575478803,False
workload_129.cpp,xczu7ev-ffvc1156-2-e,10.0,7.10288,118,20,1,8,14,cyclic_2_1,block_16_1,block_2_1,cyclic_2_1,cyclic_4_1,block_32_1,cyclic_16_1,cyclic_4_1,block_32_1,complete_1,pipeline_1,unroll_4,unroll_64,unroll_2,10.75,0.9210366647767699,False
workload_130.cpp,xczu7ev-ffvc1156-2-e,10.0,10.84197,1359,22,1,7,37,cyclic_32_1,cyclic_64_1,cyclic_4_1,cyclic_32_1,cyclic_8_1,cyclic_64_1,cyclic_16_1,cyclic_128_1,block_64_1,complete_1,unroll_2,unroll_64,unroll_2,pipeline_1,16.75,0.7514858903310259,False
workload_131.cpp,xczu7ev-ffvc1156-2-e,10.0,43.47112,868,20,1,8,35,block_4_1,block_64_1,cyclic_4_1,cyclic_32_1,block_2_1,cyclic_4_1,block_2_1,block_4_1,block_8_1,complete_1,unroll_8,unroll_64,unroll_8,unroll_2,16.0,0.5564476077000609,False
