Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,Area,Weight,is_pareto
workload_670.cpp,xczu7ev-ffvc1156-2-e,10.0,579.51898,294,67,1,36,65,cyclic_32_1,cyclic_64_1,cyclic_2_1,pipeline,pipeline,unroll_32,unroll_64,unroll_64,unroll_4,pipeline_1,pipeline_1,unroll_8,42.25,0.605951653933342,False
workload_671.cpp,xczu7ev-ffvc1156-2-e,10.0,513.89894,130,51,13,9,23,cyclic_2_1,block_4_1,cyclic_2_1,unroll,pipeline,unroll_2,pipeline,unroll_64,unroll_16,unroll_4,pipeline,unroll_2,24.0,0.8285732173207717,False
workload_672.cpp,xczu7ev-ffvc1156-2-e,10.0,597.78714,74,46,1,3,8,cyclic_2_1,cyclic_32_1,cyclic_2_1,pipeline,pipeline,unroll_2,unroll_64,unroll_64,unroll_8,unroll_16,pipeline_1,unroll_8,14.5,0.9704986837712866,False
workload_673.cpp,xczu7ev-ffvc1156-2-e,10.0,587.2988,105,42,1,4,14,cyclic_4_1,cyclic_2_1,cyclic_2_1,pipeline,pipeline,unroll_2,pipeline,unroll_64,unroll_4,unroll_4,pipeline,pipeline_1,15.25,1.0,True
workload_675.cpp,xczu7ev-ffvc1156-2-e,10.0,138.85653,98,58,68,28,51,cyclic_32_1,cyclic_2_1,cyclic_4_1,pipeline,pipeline_1,pipeline,unroll_32,unroll_8,unroll_8,pipeline_1,pipeline,unroll_8,51.25,0.520045440169629,False
workload_676.cpp,xczu7ev-ffvc1156-2-e,10.0,6109.20951,63,57,1,1,10,cyclic_32_1,cyclic_2_1,cyclic_2_1,unroll,pipeline,unroll_2,unroll_2,unroll_2,unroll_8,unroll_4,unroll,unroll_2,17.25,0.7283441723675582,False
workload_677.cpp,xczu7ev-ffvc1156-2-e,10.0,91.97338,104,58,68,28,51,cyclic_32_1,cyclic_2_1,cyclic_2_1,pipeline,pipeline,pipeline,unroll_64,unroll_64,unroll_8,unroll,pipeline,unroll_8,51.25,0.5209243919548359,False
workload_678.cpp,xczu7ev-ffvc1156-2-e,10.0,92.00026,107,57,68,28,52,cyclic_32_1,cyclic_2_1,block_32_1,pipeline,pipeline,pipeline,unroll_64,unroll_64,unroll_8,unroll,pipeline_1,unroll_2,51.25,0.5209238883554465,False
workload_679.cpp,xczu7ev-ffvc1156-2-e,10.0,92.00026,112,57,68,28,52,cyclic_32_1,cyclic_2_1,block_128_1,pipeline,pipeline,pipeline,unroll_64,unroll_64,unroll_4,pipeline_1,pipeline,unroll_2,51.25,0.5209238883554465,False
workload_680.cpp,xczu7ev-ffvc1156-2-e,10.0,550.59864,117,42,4,6,19,cyclic_4_1,cyclic_2_1,cyclic_8_1,pipeline,pipeline_1,unroll_2,pipeline,unroll_64,unroll_8,unroll_4,pipeline_1,unroll_8,17.75,0.9127256940955579,False
workload_681.cpp,xczu7ev-ffvc1156-2-e,10.0,671.18746,119,77,1,3,20,cyclic_32_1,cyclic_128_1,block_64_1,pipeline,pipeline,unroll_2,unroll_64,unroll_64,pipeline_1,unroll,pipeline_1,unroll_8,25.25,0.808215654862309,False
workload_682.cpp,xczu7ev-ffvc1156-2-e,10.0,102.4905,114,41,13,12,20,cyclic_4_1,cyclic_128_1,block_128_1,pipeline,pipeline,pipeline,unroll_64,unroll_64,unroll_4,unroll,pipeline,unroll_2,21.5,0.871811697815276,False
workload_683.cpp,xczu7ev-ffvc1156-2-e,10.0,550.59864,132,46,4,6,24,cyclic_4_1,block_16_1,cyclic_8_1,pipeline,pipeline,unroll_2,pipeline,unroll_64,unroll_8,unroll_4,pipeline_1,unroll_8,20.0,0.8815054584872618,False
workload_684.cpp,xczu7ev-ffvc1156-2-e,10.0,668.0745,261,42,1,29,54,cyclic_4_1,block_4_1,block_32_1,pipeline,pipeline,unroll_32,unroll_64,unroll_64,unroll_8,unroll_4,pipeline,unroll_2,31.5,0.7291445119276216,False
workload_685.cpp,xczu7ev-ffvc1156-2-e,10.0,92.00026,163,57,68,28,53,cyclic_32_1,cyclic_128_1,block_32_1,pipeline,pipeline,pipeline_1,unroll_64,unroll_64,pipeline_1,unroll_8,pipeline_1,unroll_2,51.5,0.5184190050877376,False
workload_686.cpp,xczu7ev-ffvc1156-2-e,10.0,91.9708,172,58,68,28,56,cyclic_32_1,cyclic_2_1,cyclic_2_1,pipeline,pipeline,pipeline,pipeline,unroll_64,unroll_8,unroll_4,unroll,unroll_2,52.5,0.5084753713146681,False
workload_687.cpp,xczu7ev-ffvc1156-2-e,10.0,102.49306,79,41,13,12,18,cyclic_4_1,cyclic_2_1,block_128_1,pipeline,pipeline,pipeline,unroll_32,unroll_64,unroll_8,pipeline_1,pipeline_1,unroll_2,21.0,0.8785687264996577,False
workload_688.cpp,xczu7ev-ffvc1156-2-e,10.0,509.31401,114,63,6,10,29,cyclic_32_1,block_4_1,block_32_1,unroll,pipeline,unroll_4,unroll_64,unroll_64,unroll_16,unroll,pipeline_1,unroll_2,27.0,0.7894873989370422,False
