Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,InnerLoop_2_1,Area,Weight,is_pareto
workload_4044.cpp,xcu200-fsgd2104-2-e,5.0,195.8756,79,2,1,1,1,cyclic_2_1,cyclic_2_1,block_2_2,complete_1,block_4_1,complete_1,unroll_4,unroll_8,unroll_4,unroll_2,1.25,0.2488794186921377,False
workload_4045.cpp,xcu200-fsgd2104-2-e,5.0,69.147495,60,2,1,1,1,block_2_1,block_2_2,block_2_1,block_4_1,cyclic_2_1,complete_1,unroll_2,pipeline,pipeline_1,pipeline,1.25,0.9842953003458322,False
workload_4046.cpp,xcu200-fsgd2104-2-e,5.0,66.524765,153,2,2,5,5,cyclic_2_1,block_2_2,block_2_2,complete_1,block_4_1,complete_1,unroll_32,pipeline,pipeline_1,unroll_2,3.5,0.8580745598764489,False
workload_4047.cpp,xcu200-fsgd2104-2-e,5.0,72.096365,98,3,2,3,3,block_16_1,block_8_2,block_2_2,complete_1,cyclic_2_1,block_4_1,unroll_8,pipeline,pipeline,pipeline_1,2.75,0.8967299462846204,False
workload_4048.cpp,xcu200-fsgd2104-2-e,5.0,66.525655,92,2,2,3,3,cyclic_2_1,block_2_2,block_2_2,complete_1,cyclic_2_1,cyclic_2_1,unroll_8,pipeline,pipeline_1,pipeline_1,2.5,0.9270978072445273,False
workload_4049.cpp,xcu200-fsgd2104-2-e,5.0,71.31625,168,2,1,2,3,cyclic_16_1,cyclic_2_1,cyclic_4_1,cyclic_2_1,block_8_1,complete_1,unroll_2,unroll_4,unroll_32,pipeline,2.0,0.9409462413851548,False
workload_4050.cpp,xcu200-fsgd2104-2-e,5.0,66.52628,57,2,2,1,1,cyclic_2_1,block_2_2,block_2_2,cyclic_2_1,block_4_1,complete_1,unroll_2,unroll_4,pipeline,unroll_2,1.5,0.9906830235208921,False
workload_4051.cpp,xcu200-fsgd2104-2-e,5.0,66.852025,130,2,3,1,2,cyclic_2_1,block_2_2,block_2_2,complete_1,block_8_1,block_8_1,unroll_4,unroll_2,unroll_4,unroll,2.0,0.9612231737316337,False
workload_4052.cpp,xcu200-fsgd2104-2-e,5.0,102.30281,127,1,1,1,4,block_2_1,complete_2,block_2_1,block_4_1,block_4_1,complete_1,unroll_2,unroll_4,unroll_16,pipeline_1,1.75,0.7338990770106824,False
workload_4053.cpp,xcu200-fsgd2104-2-e,5.0,69.146945,60,3,1,1,1,cyclic_2_1,block_4_2,block_2_1,complete_1,cyclic_2_1,block_4_1,unroll_2,pipeline,pipeline,unroll_4,1.5,0.976005732643731,False
workload_4054.cpp,xcu200-fsgd2104-2-e,5.0,72.708745,142,3,1,2,3,block_4_1,cyclic_4_1,cyclic_16_1,complete_1,cyclic_2_1,complete_1,unroll_2,pipeline,unroll_32,pipeline,2.25,0.9211199773033912,False
workload_4055.cpp,xcu200-fsgd2104-2-e,5.0,71.11189,91,3,2,1,1,cyclic_2_1,block_4_2,cyclic_4_1,cyclic_4_1,cyclic_2_1,complete_1,unroll_2,unroll_8,pipeline_1,pipeline,1.75,0.9536729997095394,False
workload_4056.cpp,xcu200-fsgd2104-2-e,5.0,74.38879,210,1,1,3,4,cyclic_2_1,complete_2,block_2_1,complete_1,block_2_1,cyclic_2_1,unroll_32,pipeline,pipeline,pipeline,2.25,0.9113357294587333,False
workload_4057.cpp,xcu200-fsgd2104-2-e,5.0,69.47591,118,4,1,1,2,block_128_1,block_2_2,block_2_1,complete_1,block_2_1,block_4_1,unroll_2,unroll_4,pipeline,pipeline,2.0,0.9508568054908545,False
workload_4058.cpp,xcu200-fsgd2104-2-e,5.0,69.47374,202,1,1,3,4,block_16_1,block_2_2,block_2_1,complete_1,block_2_1,block_4_1,unroll_32,pipeline,pipeline_1,pipeline,2.25,0.9369546284093904,False
workload_4059.cpp,xcu200-fsgd2104-2-e,5.0,79.711855,198,1,1,3,5,cyclic_16_1,block_2_2,block_2_1,complete_1,block_2_1,cyclic_2_1,unroll_32,pipeline,unroll_4,pipeline,2.5,0.8680936132342757,False
workload_4060.cpp,xcu200-fsgd2104-2-e,5.0,74.388765,212,2,1,3,4,block_4_1,complete_2,block_2_1,complete_1,block_2_1,complete_1,unroll_32,pipeline,pipeline,pipeline,2.5,0.8997427972352677,False
workload_4061.cpp,xcu200-fsgd2104-2-e,5.0,197.984675,430,1,1,1,3,cyclic_16_1,block_2_2,block_2_1,complete_1,cyclic_2_1,cyclic_2_1,unroll_32,pipeline,unroll_4,unroll_4,1.5,0.24166873384456228,False
workload_4062.cpp,xcu200-fsgd2104-2-e,5.0,84.883625,537,3,1,4,7,block_16_1,cyclic_2_1,cyclic_8_1,cyclic_2_1,block_8_1,block_4_1,unroll_4,pipeline,unroll_32,pipeline,3.75,0.7849050392762734,False
workload_4063.cpp,xcu200-fsgd2104-2-e,5.0,83.26582,1016,6,1,26,47,block_4_1,block_128_1,cyclic_4_1,cyclic_2_1,block_8_1,complete_1,unroll_2,pipeline,unroll_32,pipeline,20.0,0.1503032407391313,False
