kernel,expected_actions,harp_contract_match,mlir_contract_match,harp_actions,mlir_actions,harp_missing_actions,mlir_missing_actions,harp_extra_actions,mlir_extra_actions,harp_nodes,mlir_nodes,node_ratio_mlir_over_harp,harp_edges,mlir_edges,edge_ratio_mlir_over_harp,harp_relation_types,mlir_relation_types
rodinia_lavaMD_2_pipeline_0,L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15,False,True,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15,L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15,,,L1,,1459,532,0.364633,5370,2714,0.505400,7,12
rodinia_lc_gicov_0_baseline_0,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11,True,True,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11,,,,,525,363,0.691429,1900,1901,1.000526,7,12
rodinia_lc_mgvf_0_baseline_0,L1;L2;L3,True,True,L1;L2;L3,L1;L2;L3,,,,,811,326,0.401973,2873,1267,0.441002,6,11
rodinia_lud_1_tiling_0,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20;L21;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34;L35;L36;L37;L38;L39;L40;L41;L42;L43;L44;L45;L46,True,True,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20;L21;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34;L35;L36;L37;L38;L39;L40;L41;L42;L43;L44;L45;L46,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20;L21;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34;L35;L36;L37;L38;L39;L40;L41;L42;L43;L44;L45;L46,,,,,2619,1385,0.528828,9341,5471,0.585697,7,13
rodinia_pathfinder_0_baseline_0,L3;L4;L5;L6,False,True,L1;L2;L3;L4;L5;L6,L3;L4;L5;L6,,,L1;L2,,500,207,0.414000,1764,873,0.494898,7,11
rodinia_pathfinder_4_doublebuffer_0,L1;L2;L3;L4;L5;L6;L7;L8,True,True,L1;L2;L3;L4;L5;L6;L7;L8,L1;L2;L3;L4;L5;L6;L7;L8,,,,,575,440,0.765217,2077,1846,0.888782,7,12
rodinia_streamcluster_0_baseline_0,L1;L2,True,True,L1;L2,L1;L2,,,,,276,151,0.547101,958,559,0.583507,6,11
rodinia_streamcluster_1_tiling_0,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14,True,True,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14,,,,,794,712,0.896725,2945,2770,0.940577,7,13
rodinia_streamcluster_2_pipeline_1,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14,True,True,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14,,,,,796,712,0.894472,2950,2770,0.938983,7,13
rodinia_streamcluster_3_doublebuffer_0,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18,True,True,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18,,,,,997,941,0.943831,3740,3726,0.996257,7,13
rodinia_streamcluster_4_coalescing_0,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18,True,True,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18,,,,,1145,1039,0.907424,4269,4108,0.962286,7,13
serrano-kalman-filter,L1;L2;L3;L4;L5;L6;L9;L10;L11;L12;L13,False,True,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13,L1;L2;L3;L4;L5;L6;L9;L10;L11;L12;L13,,,L7;L8,,748,511,0.683155,2763,1972,0.713717,7,13
spcl_example_00,L1,True,True,L1,L1,,,,,111,42,0.378378,381,146,0.383202,5,8
spcl_example_01,L1,True,True,L1,L1,,,,,145,62,0.427586,502,221,0.440239,5,10
spcl_example_03,L1;L2;L3;L4;L5;L6,True,True,L1;L2;L3;L4;L5;L6,L1;L2;L3;L4;L5;L6,,,,,272,91,0.334559,962,333,0.346154,7,11
spcl_example_05,L1;L2;L3;L4;L5,True,True,L1;L2;L3;L4;L5,L1;L2;L3;L4;L5,,,,,248,84,0.338710,870,311,0.357471,7,11
