model,target,target_group,kernel,count,kendall_tau_b,spearman_rho,mae,rmse,top1_best_actual,top1_regret,top1_oracle_recall,top5_best_actual,top5_regret,top5_oracle_recall,top10_best_actual,top10_regret,top10_oracle_recall
Structured-MLIR,perf,rodinia_pathfinder_0_baseline_0::xcu200-fsgd2104-2-e::10,rodinia_pathfinder_0_baseline_0,227,0.27586317009814704,0.42128635160412514,44.87239210170667,58.471451200800274,11.38621997833252,0.0712207878247808,0.0,11.38621997833252,0.0712207878247808,0.0,11.38621997833252,0.0712207878247808,0.0
Structured-MLIR,perf,rodinia_pathfinder_0_baseline_0::xcu200-fsgd2104-2-e::3.33,rodinia_pathfinder_0_baseline_0,234,0.21690555774855977,0.3590990489669488,26.87420388860637,37.507453673069136,3.597435712814331,0.016361555339617695,0.0,3.597435712814331,0.016361555339617695,0.0,3.597435712814331,0.016361555339617695,0.0
Structured-MLIR,perf,rodinia_pathfinder_0_baseline_0::xcu200-fsgd2104-2-e::5,rodinia_pathfinder_0_baseline_0,265,0.1722763200226467,0.2509060229090902,33.105417426408664,45.584496810411785,5.519199848175049,0.03849769647438728,0.0,5.396440029144287,0.015399096534178147,0.0,5.396440029144287,0.015399096534178147,0.0
Structured-MLIR,perf,rodinia_pathfinder_0_baseline_0::xczu7ev-ffvc1156-2-e::10,rodinia_pathfinder_0_baseline_0,388,0.28957220190657645,0.42707083796213846,48.48725609400598,63.10644697386648,10.741729736328123,0.01058685082908628,0.0,10.741729736328123,0.01058685082908628,0.0,10.741729736328123,0.01058685082908628,0.0
Structured-MLIR,perf,rodinia_pathfinder_0_baseline_0::xczu7ev-ffvc1156-2-e::3.33,rodinia_pathfinder_0_baseline_0,261,0.14554285065943412,0.2732105880178136,25.620723261280055,35.51303431055157,4.452493190765381,0.2579357258243018,0.0,3.58721923828125,0.013475157145053096,0.0,3.5838093757629395,0.012511789499521697,0.0
Structured-MLIR,perf,rodinia_pathfinder_0_baseline_0::xczu7ev-ffvc1156-2-e::5,rodinia_pathfinder_0_baseline_0,360,0.30466611632482554,0.47092173852768043,37.01016641095714,51.678750903083596,6.670074939727783,0.25504740737178433,0.0,5.391324996948242,0.014436647393159863,0.0,5.391324996948242,0.014436647393159863,0.0
Structured-MLIR,perf,rodinia_pathfinder_4_doublebuffer_0::xcu200-fsgd2104-2-e::10,rodinia_pathfinder_4_doublebuffer_0,622,-0.055165904311409844,-0.07075536300800347,12.55434615190258,14.767018794275659,32.42723083496094,0.024274854387082323,0.0,32.42723083496094,0.024274854387082323,0.0,32.42723083496094,0.024274854387082323,0.0
Structured-MLIR,perf,rodinia_pathfinder_4_doublebuffer_0::xcu200-fsgd2104-2-e::3.33,rodinia_pathfinder_4_doublebuffer_0,731,-0.04017251448457152,-0.055160388468628835,4.4890419508891855,5.39357618183485,10.80173110961914,0.022102868175914336,0.0,10.79838752746582,0.021786485100441677,0.0,10.638068199157717,0.006616431002184564,0.0
Structured-MLIR,perf,rodinia_pathfinder_4_doublebuffer_0::xcu200-fsgd2104-2-e::5,rodinia_pathfinder_4_doublebuffer_0,748,-0.29336240505318756,-0.4025556529316593,9.522987889858369,11.921268173256273,16.30079460144043,0.030323824684230782,0.0,16.213714599609375,0.024819761677869367,0.0,16.213714599609375,0.024819761677869367,0.0
Structured-MLIR,perf,rodinia_pathfinder_4_doublebuffer_0::xczu7ev-ffvc1156-2-e::10,rodinia_pathfinder_4_doublebuffer_0,751,-0.1550662943263767,-0.21769576394582527,15.598798619593659,18.272548780025435,32.437469482421875,0.025988866895635176,0.0,32.42723083496094,0.02566502109401725,0.0,32.42723083496094,0.02566502109401725,0.0
Structured-MLIR,perf,rodinia_pathfinder_4_doublebuffer_0::xczu7ev-ffvc1156-2-e::3.33,rodinia_pathfinder_4_doublebuffer_0,546,-0.322051814481726,-0.4123266273725353,6.164175519808061,7.571172075288178,10.638278007507324,0.0068101804137317146,0.0,10.638278007507324,0.0068101804137317146,0.0,10.580469131469728,0.0013391290958535418,0.0
Structured-MLIR,perf,rodinia_pathfinder_4_doublebuffer_0::xczu7ev-ffvc1156-2-e::5,rodinia_pathfinder_4_doublebuffer_0,514,0.17800977475256655,0.30407311042295176,7.753965864914433,9.351480261073863,16.218835830688477,0.022103867696045665,0.0,16.218814849853516,0.02210254549309698,0.0,16.213695526123047,0.021779927973595292,0.0
