model,target,target_group,kernel,count,kendall_tau_b,spearman_rho,mae,rmse,top1_best_actual,top1_regret,top1_oracle_recall,top5_best_actual,top5_regret,top5_oracle_recall,top10_best_actual,top10_regret,top10_oracle_recall
HARP-Rep,area,rodinia_pathfinder_4_doublebuffer_0::xcu200-fsgd2104-2-e::5,rodinia_pathfinder_4_doublebuffer_0,748,0.49433830457254246,0.6668461498910954,5.988257133465011,6.206498380709505,0.25,3.0,0.0,0.0625,0.0,1.0,0.0625,0.0,1.0
HARP-Rep,area,rodinia_pathfinder_4_doublebuffer_0::xczu7ev-ffvc1156-2-e::10,rodinia_pathfinder_4_doublebuffer_0,751,0.4507105522024456,0.6322668286179486,4.177232869461424,6.680254451595679,3.5,0.16666666666666674,0.0,3.25,0.08333333333333326,0.0,3.25,0.08333333333333326,0.0
HARP-Rep,area,rodinia_pathfinder_4_doublebuffer_0::xczu7ev-ffvc1156-2-e::3.33,rodinia_pathfinder_4_doublebuffer_0,546,0.22369536213334024,0.31525639938001254,4.196715790004336,5.86449516623113,4.25,0.5454545454545454,0.0,2.75,0.0,1.0,2.75,0.0,1.0
HARP-Rep,area,rodinia_pathfinder_4_doublebuffer_0::xczu7ev-ffvc1156-2-e::5,rodinia_pathfinder_4_doublebuffer_0,514,0.5152980595806915,0.700522317825471,2.7040318082337627,4.809952972406699,4.0,0.4545454545454546,0.0,2.75,0.0,1.0,2.75,0.0,1.0
HARP-Rep,perf,machsuite-sort-radix::xcu200-fsgd2104-2-e::10,machsuite-sort-radix,590,0.23348754345979794,0.34605229899162054,0.4644918408717746,0.5409647344779391,2.235990047454834,0.048338199387457426,0.0,2.143549919128418,0.004997882291158717,0.0,2.143549919128418,0.004997882291158717,0.0
HARP-Rep,perf,machsuite-sort-radix::xcu200-fsgd2104-2-e::3.33,machsuite-sort-radix,648,0.32175908976863804,0.47708874682364566,1.2926889411375186,1.3262264341609642,0.7720771431922913,0.08672011965469073,0.0,0.7145414352416992,0.005737005493373859,0.0,0.7145414352416992,0.005737005493373859,0.0
HARP-Rep,perf,machsuite-sort-radix::xcu200-fsgd2104-2-e::5,machsuite-sort-radix,623,0.13986902596713374,0.2209687369980438,1.3853841266295621,1.41828554783829,1.0729550123214722,0.006123306066597722,0.0,1.0675350427627563,0.0010409329674714307,0.0,1.0675350427627563,0.0010409329674714307,0.0
HARP-Rep,perf,machsuite-sort-radix::xczu7ev-ffvc1156-2-e::10,machsuite-sort-radix,683,0.2774836252373946,0.4106311327804564,0.6391605958927746,0.7392230017837741,2.144629955291748,0.005523137563338221,0.0,2.1337900161743164,0.00044076446421192905,0.0,2.1335299015045166,0.00031880807809581135,0.0
HARP-Rep,perf,machsuite-sort-radix::xczu7ev-ffvc1156-2-e::3.33,machsuite-sort-radix,731,0.3817020016774359,0.5419166373529941,1.477451090359773,1.5188239323742152,0.7142150402069092,0.00527759537562944,0.0,0.7142150402069092,0.00527759537562944,0.0,0.7142150402069092,0.00527759537562944,0.0
HARP-Rep,perf,machsuite-sort-radix::xczu7ev-ffvc1156-2-e::5,machsuite-sort-radix,760,0.3281969349543497,0.4881104774788665,1.3732800301443875,1.417112192062598,1.076954960823059,0.00979836566108827,0.0,1.0721549987792969,0.005297718927150363,0.0,1.0721549987792969,0.005297718927150363,0.0
HARP-Rep,perf,machsuite-viterbi::xcu200-fsgd2104-2-e::10,machsuite-viterbi,615,0.36074577993960244,0.5353535604420092,9.418173419502786,12.106340694088553,6.641670227050781,1.199782210601874,0.0,3.02239990234375,0.001046620987222413,0.0,3.0198700428009038,0.0002087082593353884,0.0
HARP-Rep,perf,machsuite-viterbi::xcu200-fsgd2104-2-e::3.33,machsuite-viterbi,478,0.4135973738326767,0.5997180290393784,7.76789553485288,10.707386276186272,4.390671730041504,3.2164443696006737,0.0,1.0415207147598269,0.00019186666228621085,0.0,1.0414175987243652,9.284240042606307e-05,0.0
HARP-Rep,perf,machsuite-viterbi::xcu200-fsgd2104-2-e::5,machsuite-viterbi,571,0.45422455218346003,0.6384574161429536,7.544950312936492,9.29556902667092,1.5582499504089355,0.00020215923199695673,0.0,1.5581049919128418,0.00010911395337909191,0.0,1.5581049919128418,0.00010911395337909191,0.0
HARP-Rep,perf,machsuite-viterbi::xczu7ev-ffvc1156-2-e::10,machsuite-viterbi,519,0.3913183261369283,0.5606511471795561,13.616954113700702,19.901863963689234,6.91047477722168,1.2845752208601824,0.0,3.026859998703003,0.0006677649476842795,0.0,3.025470018386841,0.00020824303491284724,0.0
HARP-Rep,perf,machsuite-viterbi::xczu7ev-ffvc1156-2-e::3.33,machsuite-viterbi,615,0.44906038673144694,0.628120590705267,6.392465670862988,10.798392604181258,4.5092644691467285,3.0719573634794806,0.0,1.123392105102539,0.014445878201638562,0.0,1.1233887672424316,0.01444286404619577,0.0
HARP-Rep,perf,machsuite-viterbi::xczu7ev-ffvc1156-2-e::5,machsuite-viterbi,531,0.40996220680843326,0.5877599168091336,7.724871361511489,12.167167209165342,1.5666500329971311,0.00015959006130628062,0.0,1.5666500329971311,0.00015959006130628062,0.0,1.566504955291748,6.697150879797498e-05,0.0
HARP-Rep,perf,rodinia_pathfinder_0_baseline_0::xcu200-fsgd2104-2-e::10,rodinia_pathfinder_0_baseline_0,227,0.28469978882581043,0.431740141713146,51.809936161862794,68.96552610969931,11.38621997833252,0.0712207878247808,0.0,11.38621997833252,0.0712207878247808,0.0,11.35552978515625,0.06833344040172551,0.0
HARP-Rep,perf,rodinia_pathfinder_0_baseline_0::xcu200-fsgd2104-2-e::3.33,rodinia_pathfinder_0_baseline_0,234,0.22293385186698422,0.37296561072366125,32.262139111716195,45.11234440119331,3.597435712814331,0.016361555339617695,0.0,3.597435712814331,0.016361555339617695,0.0,3.597435712814331,0.016361555339617695,0.0
HARP-Rep,perf,rodinia_pathfinder_0_baseline_0::xcu200-fsgd2104-2-e::5,rodinia_pathfinder_0_baseline_0,265,0.1799238944132713,0.2695942126012915,39.115330311499314,54.185952969592506,5.519199848175049,0.03849769647438728,0.0,5.396440029144287,0.015399096534178147,0.0,5.396440029144287,0.015399096534178147,0.0
HARP-Rep,perf,rodinia_pathfinder_0_baseline_0::xczu7ev-ffvc1156-2-e::10,rodinia_pathfinder_0_baseline_0,388,0.2993394644088127,0.4489810699840947,54.797885564235315,72.98909261111089,10.741729736328123,0.01058685082908628,0.0,10.741729736328123,0.01058685082908628,0.0,10.741729736328123,0.01058685082908628,0.0
HARP-Rep,perf,rodinia_pathfinder_0_baseline_0::xczu7ev-ffvc1156-2-e::3.33,rodinia_pathfinder_0_baseline_0,261,0.17343706078168833,0.3449543782249579,30.49660337244418,42.9580494711109,4.452493190765381,0.2579357258243018,0.0,3.58721923828125,0.013475157145053096,0.0,3.5838093757629395,0.012511789499521697,0.0
HARP-Rep,perf,rodinia_pathfinder_0_baseline_0::xczu7ev-ffvc1156-2-e::5,rodinia_pathfinder_0_baseline_0,360,0.321944797822945,0.5173369556884585,42.868077580415864,60.260072787692984,6.670074939727783,0.25504740737178433,0.0,5.396440029144287,0.015399096534178147,0.0,5.391324996948242,0.014436647393159863,0.0
HARP-Rep,perf,rodinia_pathfinder_4_doublebuffer_0::xcu200-fsgd2104-2-e::10,rodinia_pathfinder_4_doublebuffer_0,622,-0.10679047327451571,-0.14804635154206566,12.972256178405628,16.527676604565666,32.43775177001953,0.024607177837086658,0.0,32.42723083496094,0.024274854387082323,0.0,32.42723083496094,0.024274854387082323,0.0
HARP-Rep,perf,rodinia_pathfinder_4_doublebuffer_0::xcu200-fsgd2104-2-e::3.33,rodinia_pathfinder_4_doublebuffer_0,731,-0.05106704231071989,-0.07878225491681001,5.817078364511219,6.624791852200834,10.743935585021973,0.01663402518593382,0.0,10.743935585021973,0.01663402518593382,0.0,10.580205917358398,0.0011412711795502073,0.0
HARP-Rep,perf,rodinia_pathfinder_4_doublebuffer_0::xcu200-fsgd2104-2-e::5,rodinia_pathfinder_4_doublebuffer_0,748,-0.3069695953010345,-0.4306241155177352,13.69087736512501,17.937898841982733,16.300874710083008,0.030328888108746455,0.0,15.967949867248535,0.009285717773277025,0.0,15.967949867248535,0.009285717773277025,0.0
HARP-Rep,perf,rodinia_pathfinder_4_doublebuffer_0::xczu7ev-ffvc1156-2-e::10,rodinia_pathfinder_4_doublebuffer_0,751,-0.18190749673094234,-0.26074887218830495,18.715559535852858,22.8781537009603,32.42723083496094,0.02566502109401725,0.0,32.42723083496094,0.02566502109401725,0.0,31.771900177001957,0.004937079921982779,0.0
HARP-Rep,perf,rodinia_pathfinder_4_doublebuffer_0::xczu7ev-ffvc1156-2-e::3.33,rodinia_pathfinder_4_doublebuffer_0,546,-0.33614298266879167,-0.4174839810208338,7.9087713138479385,9.600032457819038,10.580469131469728,0.0013391290958535418,0.0,10.580469131469728,0.0013391290958535418,0.0,10.580469131469728,0.0013391290958535418,0.0
