kernel,status,source_sha256,toolchain_id,device,clock_period_ns,baseline_latency_ms,baseline_area_score,bram_util_percent,dsp_util_percent,ff_util_percent,lut_util_percent,report_path,error
rodinia_streamcluster_3_doublebuffer_0,success,41014d6e1eae24c244cecbd5dee2cd525babbc2197999bd7bb1eb4c27a7b4d1e,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,0.07395,8.75,32,0,0,0,Data/ApplicationBaselineInformation.csv,
rodinia_streamcluster_4_coalescing_0,success,e1075b8bb3bbb436ac7f20e78d48364a4af9d583e593baceda8f9ac475497349,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,0.01047,9.25,32,0,1,3,Data/ApplicationBaselineInformation.csv,
rodinia-backprop-0-baseline-back,success,9cf0a1ff494c23a150703f293229c9a4a1d839f52471ed5ccfde2f74d7a3ac89,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,209.71985,1,0,1,0,0,Data/ApplicationBaselineInformation.csv,
rodinia-backprop-0-baseline-forward,success,661750c496da8284acdad27aa54c4d8752d9efffdd9f53a9946e6a6966568dd1,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,97.16951,6.5,23,0,0,1,Data/ApplicationBaselineInformation.csv,
rodinia-backprop-1-tiling-back,success,829db4937b10923e6ec39b65dad246fb88b063388c03cbbe98e917eaf9de6642,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,349.96792,14.5,55,1,0,1,Data/ApplicationBaselineInformation.csv,
rodinia-hotspot-0-baseline,success,7afde9f09afbc56aceab1347333189a5afdce7ea5ae9c71b6baa510a6adc00d1,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,7899.39905,1.5,0,2,0,2,Data/ApplicationBaselineInformation.csv,
rodinia-hotspot-1-tiling,success,d40a45b71ac2f0e9cabe953011e9f8e0075d2d48cc3620253a77a41a1b62e661,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,6554.28705,8,29,0,0,0,Data/ApplicationBaselineInformation.csv,
rodinia-hotspot-2-pipeline,success,2f8fc265c2fdb6dbf82f558ae16d72f583f0ec77d54b90d6d63dcaf886db5549,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,28742.33441,8,29,0,0,0,Data/ApplicationBaselineInformation.csv,
rodinia-hotspot-3-unroll,success,0518e3140bb6c9acc80ec52c27e86adeccabffb869ed7d0b9253e631ca4e6250,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,28742.33441,8,29,0,0,0,Data/ApplicationBaselineInformation.csv,
rodinia-kmeans-0-baseline,success,fec4c83fbef51a51ba991f407ff6185213b107e3f08b4b39adac6af65483d367,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,2854.91207,1,0,0,0,0,Data/ApplicationBaselineInformation.csv,
rodinia-kmeans-1-tiling,success,ad32be6bd3bdd09cc69e921bca4b8fe14d37f562c7fa4bd320039000c961049b,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,9277.44582,11,41,0,0,0,Data/ApplicationBaselineInformation.csv,
rodinia-kmeans-2-pipeline,success,2c0c5d4cb4ff86822cbe678e111c9959fbe5921d81d3540e707fc5561d341efa,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,9277.44582,11,41,0,0,0,Data/ApplicationBaselineInformation.csv,
rodinia-kmeans-3-unroll,success,9e9998a4a02559bbf473c21d09c4d3e16e63d6290a51375516264140305d6b66,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,9277.44582,11,41,0,0,0,Data/ApplicationBaselineInformation.csv,
rodinia-knn-0-baseline,success,a4993c84204724cad504c6484ef8d1043e3f5de819c7d63efb3ca2482376cc6b,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,293.60129,1,0,0,0,0,Data/ApplicationBaselineInformation.csv,
rodinia-knn-1-tiling,success,f39c72a8d33593623213eeb53722b812e1ca637bd02cd5e98e8d2eedaad8d940,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,356.59782,1,0,0,0,0,Data/ApplicationBaselineInformation.csv,
rodinia-knn-2-pipeline,success,52144a09572f3c832728822908a28f37da3b8ca94e3dac3d2d82ab9db756c626,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,356.59782,1,0,0,0,0,Data/ApplicationBaselineInformation.csv,
rodinia-knn-3-unroll,success,04a4076c4a8cc622a7d8bc203e9baf59c6c67b166be87afb64873ef8b3237d9d,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,367.08358,1,0,0,0,0,Data/ApplicationBaselineInformation.csv,
rodinia-knn-4-doublebuffer,success,c5e124f039603997a5d788769f32ededbf7dee00ef2ada0651ff0e17fe60c882,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,0.08206,1,0,0,0,0,Data/ApplicationBaselineInformation.csv,
rodinia-knn-5-coalescing,success,d0541b8526d9fe416f87e82025bed38f556a386c4df3abee7ae1c10841dbcc17,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,0.10256,3.75,9,0,0,4,Data/ApplicationBaselineInformation.csv,
spcl_example_00,success,93a3d17602119338f08e2765ea56a6b24f07d8c905556332e19013209f65c96e,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,10.24007,1,0,0,0,0,Data/ApplicationBaselineInformation.csv,
spcl_example_01,success,845f667d18b71c8a38cc3e9e64c1d488e479ea5d311450de1260489437c330bc,Vitis HLS 2021.1 Build 3247384 manual neutral synthesis,xczu7ev-ffvc1156-2-e,10,122.87992,1,1,0,0,0,Data/ApplicationBaselineInformation.csv,
spcl_example_03,success,35fe4aca90a84cc4fcb12c8c52f80d639e1040ece73f4e60303056f25144ec91,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,139.80993,1,0,0,0,0,Data/ApplicationBaselineInformation.csv,
spcl_example_05,success,8d910734efade030bbe109627517acae61e1ce3d327739d369127d4e53b71629,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,64466.48325,1,0,0,0,0,Data/ApplicationBaselineInformation.csv,
