Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_4381.cpp,xcu200-fsgd2104-2-e,3.33,0.10858464,427,0,0,6,9,block_2_1,cyclic_2_1,cyclic_8_1,block_4_1,block_2_1,block_2_1,unroll_8,pipeline_1,1,3.75,0.612382402101,False
workload_4554.cpp,xcu200-fsgd2104-2-e,3.33,0.0765567,195,0,1,3,5,block_2_1,cyclic_32_1,cyclic_128_1,complete_1,block_4_1,block_2_1,pipeline_1,unroll_8,1,2.25,0.821668032816,False
workload_4401.cpp,xcu200-fsgd2104-2-e,3.33,0.10515807,2250,0,0,6,11,block_2_1,cyclic_32_1,cyclic_64_1,cyclic_8_1,cyclic_4_1,cyclic_2_1,unroll_64,pipeline_1,1,4.25,0.563902472612,False
workload_4360.cpp,xcu200-fsgd2104-2-e,3.33,0.10659996,980,0,0,10,18,block_2_1,cyclic_4_1,block_128_1,cyclic_8_1,block_4_1,block_4_1,unroll_16,pipeline_1,1,7,0.319421677741,False
workload_4406.cpp,xcu200-fsgd2104-2-e,3.33,0.10657332,842,0,0,10,16,block_2_1,cyclic_4_1,cyclic_64_1,complete_1,block_4_1,block_4_1,unroll_16,pipeline_1,1,6.5,0.357387097218,False
workload_4438.cpp,xcu200-fsgd2104-2-e,3.33,0.0765567,201,0,1,3,5,block_2_1,cyclic_64_1,cyclic_128_1,complete_1,cyclic_2_1,block_4_1,pipeline_1,unroll_2,3,2.25,0.821668032816,False
workload_4473.cpp,xcu200-fsgd2104-2-e,3.33,0.0765567,202,0,1,3,5,block_2_1,cyclic_64_1,cyclic_128_1,cyclic_8_1,block_4_1,cyclic_8_1,pipeline_1,unroll_2,1,2.25,0.821668032816,False
workload_4471.cpp,xcu200-fsgd2104-2-e,3.33,0.1256076,427,0,2,0,5,block_32_1,block_16_1,block_64_1,cyclic_8_1,block_2_1,block_2_1,unroll_2,pipeline_1,1,1.75,0.752946862874,False
workload_4470.cpp,xcu200-fsgd2104-2-e,3.33,0.07659666,585,0,2,5,8,block_4_1,block_128_1,block_128_1,complete_1,complete_1,block_2_1,pipeline_1,pipeline_1,1,3.75,0.634862659787,False
workload_4375.cpp,xcu200-fsgd2104-2-e,3.33,0.07659666,586,0,2,5,8,block_4_1,block_128_1,block_128_1,complete_1,complete_1,cyclic_4_1,pipeline_1,unroll_2,1,3.75,0.634862659787,False
workload_4370.cpp,xcu200-fsgd2104-2-e,3.33,0.07659666,579,0,2,5,8,block_4_1,block_128_1,block_128_1,complete_1,complete_1,cyclic_4_1,pipeline_1,unroll_4,1,3.75,0.634862659787,False
workload_4487.cpp,xcu200-fsgd2104-2-e,3.33,0.07659666,583,0,2,5,8,block_4_1,block_128_1,block_128_1,complete_1,cyclic_4_1,block_8_1,pipeline_1,unroll_4,1,3.75,0.634862659787,False
workload_4436.cpp,xcu200-fsgd2104-2-e,3.33,0.18629352,570,0,5,3,7,block_4_1,block_128_1,block_32_1,cyclic_8_1,complete_1,block_2_1,unroll_4,unroll_8,1,3.75,0.466944916093,False
workload_4449.cpp,xcu200-fsgd2104-2-e,3.33,0.100566,1628,0,0,7,7,block_4_1,block_128_1,cyclic_4_1,cyclic_2_1,complete_1,complete_1,unroll_64,pipeline_1,1,3.5,0.648639808407,False
